date,t15,rh15,wind15,rain24,tmax,kbdi,df,ffdi
1941-01-01,30.1,20.0,11.5,0.0,30.1,88.671,10.0,22.472
1941-01-02,31.2,18.0,18.7,0.0,31.9,90.136,10.0,29.575
1941-01-03,29.1,19.0,14.8,0.0,29.2,91.239,10.0,24.293
1941-01-04,33.3,13.0,8.0,0.0,33.3,92.881,10.0,29.372
1941-01-05,35.1,17.0,13.4,0.0,35.9,94.956,10.0,30.853
1941-01-06,27.7,26.0,17.9,0.0,29.0,95.992,10.0,19.568
1941-01-07,26.1,31.0,18.0,0.0,26.1,96.749,10.0,15.638
1941-01-08,29.6,25.0,17.4,0.0,30.0,97.875,10.0,21.348
1941-01-09,27.5,35.0,5.9,3.7,28.2,98.803,6.228,6.742
1941-01-10,21.9,49.0,17.3,0.0,23.4,99.35,8.68,6.238
1941-01-11,27.4,36.0,7.5,0.0,27.4,100.192,9.655,10.389
1941-01-12,23.2,51.0,21.1,0.0,24.1,100.776,10.0,7.646
1941-01-13,23.2,37.0,19.9,0.0,23.4,101.313,10.0,12.051
1941-01-14,21.7,33.0,16.9,0.0,21.7,101.75,10.0,12.258
1941-01-15,25.0,24.0,9.2,0.0,25.0,102.386,10.0,15.613
1941-01-16,30.8,17.0,6.5,0.0,31.3,103.601,10.0,22.702
1941-01-17,29.0,22.0,10.0,0.0,29.9,104.645,10.0,19.511
1941-01-18,29.8,21.0,6.0,0.0,29.8,105.667,10.0,18.896
1941-01-19,35.9,13.0,13.8,0.0,36.0,107.52,10.0,36.732
1941-01-20,38.2,10.0,13.6,0.0,38.3,109.776,10.0,43.825
1941-01-21,39.0,9.0,18.2,0.0,39.1,112.15,10.0,51.903
1941-01-22,32.3,24.0,14.6,0.0,32.8,113.422,10.0,22.673
1941-01-23,27.2,35.0,19.1,0.0,30.3,114.401,10.0,14.507
1941-01-24,20.5,43.0,17.4,0.2,20.5,114.73,10.0,8.435
1941-01-25,25.7,25.0,11.6,0.0,25.7,115.329,10.0,16.336
1941-01-26,32.0,14.0,7.8,0.0,33.6,116.655,10.0,27.029
1941-01-27,34.9,15.0,23.5,0.2,36.7,118.412,10.0,41.588
