date,t15,rh15,wind15,rain24,tmax,kbdi,df,ffdi
1941-01-01,28.3,29.0,17.7,0.0,29.0,79.26,9.798,17.565
1941-01-02,27.8,32.0,22.3,0.0,29.8,80.793,9.89,17.502
1941-01-03,26.2,32.0,20.3,0.0,27.3,81.964,9.961,15.935
1941-01-04,30.5,25.0,15.9,0.0,30.9,83.639,10.0,21.248
1941-01-05,30.7,29.0,16.1,0.0,31.9,85.462,10.0,18.722
1941-01-06,24.8,35.0,21.3,0.0,25.6,86.402,10.0,14.083
1941-01-07,24.0,37.0,24.6,0.0,24.9,87.265,10.0,13.82
1941-01-08,29.3,29.0,14.2,0.3,29.9,88.714,10.0,17.08
1941-01-09,25.2,43.0,15.9,0.8,25.9,89.657,10.0,9.546
1941-01-10,22.5,51.0,27.2,0.0,24.6,90.469,10.0,8.613
1941-01-11,29.7,33.0,20.0,0.0,29.7,91.85,10.0,17.273
1941-01-12,23.1,51.0,25.2,0.0,23.6,92.562,10.0,8.388
1941-01-13,22.6,42.0,22.0,0.0,23.1,93.23,10.0,10.438
1941-01-14,21.4,37.0,18.8,0.0,21.7,93.793,10.0,11.051
1941-01-15,24.1,33.0,17.9,0.0,24.8,94.593,10.0,13.609
1941-01-16,30.4,20.0,12.2,0.0,31.0,96.108,10.0,23.076
1941-01-17,28.4,27.0,13.0,0.0,29.1,97.342,10.0,17.26
1941-01-18,29.0,28.0,12.3,0.0,29.6,98.625,10.0,16.74
1941-01-19,34.4,14.0,6.6,0.0,34.9,100.758,10.0,28.502
1941-01-20,35.1,12.0,8.8,0.0,35.5,102.971,10.0,32.921
1941-01-21,35.3,16.0,15.1,0.0,36.0,105.242,10.0,33.458
1941-01-22,27.6,36.0,13.5,0.0,28.2,106.271,10.0,12.461
1941-01-23,23.7,51.0,18.3,0.0,25.5,107.036,10.0,7.283
1941-01-24,20.6,47.0,21.5,0.1,20.9,107.483,10.0,8.115
1941-01-25,24.9,32.0,18.6,0.0,25.1,108.206,10.0,14.712
1941-01-26,31.3,20.0,12.6,0.0,31.5,109.599,10.0,24.013
1941-01-27,28.3,40.0,21.5,0.1,31.0,110.904,10.0,13.402
1941-01-28,24.0,42.0,17.8,0.0,24.7,111.572,10.0,9.92
1941-01-29,25.2,41.0,23.8,0.0,25.8,112.319,10.0,12.305
1941-01-30,25.4,39.0,23.3,0.0,26.1,113.084,10.0,13.119
1941-01-31,23.8,37.0,22.1,0.0,24.5,113.722,10.0,12.947
1941-02-01,21.0,43.0,25.7,0.0,21.4,114.164,10.0,10.417
1941-02-02,24.8,30.0,18.1,0.0,25.3,114.852,10.0,15.527
1941-02-03,25.6,36.0,21.6,0.0,26.5,115.628,10.0,14.077
1941-02-04,33.9,20.0,7.2,0.0,34.5,117.347,10.0,23.106
1941-02-05,31.1,23.0,12.9,0.0,31.1,118.557,10.0,21.657
1941-02-06,27.6,37.0,22.4,0.0,28.5,119.474,10.0,14.825
1941-02-07,22.4,46.0,22.4,0.0,24.6,120.073,10.0,9.116
1941-02-08,22.4,31.0,23.4,0.0,22.4,120.536,10.0,15.658
1941-02-09,28.2,27.0,19.7,0.0,28.6,121.44,10.0,20.054
1941-02-10,31.9,26.0,16.3,0.0,32.1,122.712,10.0,21.724
1941-02-11,22.2,52.0,22.1,0.0,23.5,123.221,10.0,7.31
1941-02-12,24.7,38.0,19.6,0.0,25.4,123.845,10.0,12.162
