date,t15,rh15,wind15,rain24,tmax,kbdi,df,ffdi
1941-01-01,34.1,16.0,13.0,0.0,34.1,146.147,10.0,30.587
1941-01-02,34.8,12.0,12.0,0.0,34.8,146.8,10.0,35.122
1941-01-03,34.6,13.0,19.1,0.0,34.6,147.433,10.0,39.794
1941-01-04,34.3,12.0,15.1,0.0,34.3,148.041,10.0,37.132
1941-01-05,37.4,9.0,8.0,0.0,37.4,148.848,10.0,38.73
1941-01-06,39.2,8.0,3.5,0.0,39.2,149.79,10.0,38.346
1941-01-07,36.5,17.0,12.6,0.0,36.5,150.508,10.0,31.748
1941-01-08,36.6,19.0,11.1,0.0,36.8,151.237,10.0,28.706
1941-01-09,34.1,23.0,32.3,0.0,34.1,151.793,10.0,37.739
1941-01-10,35.3,22.0,13.7,0.0,35.3,152.41,10.0,26.325
1941-01-11,37.7,18.0,20.5,0.0,37.7,153.175,10.0,38.427
1941-01-12,36.6,10.0,16.5,0.0,36.6,153.854,10.0,44.433
1941-01-13,30.5,24.0,23.4,0.0,30.5,154.224,10.0,26.213
1941-01-14,29.8,15.0,22.4,0.0,29.8,154.568,10.0,34.114
1941-01-15,29.1,14.0,15.0,0.0,29.1,154.885,10.0,29.002
1941-01-16,31.2,15.0,15.5,0.0,31.3,155.278,10.0,30.434
1941-01-17,32.5,12.0,11.3,0.0,32.5,155.717,10.0,31.967
1941-01-18,32.7,13.0,10.9,0.0,32.9,156.169,10.0,30.803
1941-01-19,34.3,13.0,13.6,0.0,34.6,156.697,10.0,34.635
1941-01-20,35.1,9.0,12.5,0.0,35.1,157.244,10.0,39.812
1941-01-21,37.5,7.0,3.8,0.0,37.5,157.923,10.0,37.74
1941-01-22,40.7,9.0,11.4,0.0,40.7,158.824,10.0,46.886
1941-01-23,28.4,31.0,24.3,0.1,30.4,159.155,10.0,19.586
1941-01-24,31.1,17.0,17.8,0.0,31.1,159.506,10.0,29.874
1941-01-25,31.2,23.0,8.5,0.0,31.2,159.858,10.0,19.604
1941-01-26,35.3,18.0,16.0,0.0,35.6,160.393,10.0,31.891
1941-01-27,37.1,16.0,13.6,0.9,37.3,161.014,10.0,34.33
1941-01-28,38.2,15.0,17.1,0.9,38.2,161.68,10.0,40.029
1941-01-29,35.6,23.0,16.8,0.0,35.6,162.192,10.0,27.624
1941-01-30,33.9,17.0,21.4,0.0,33.9,162.623,10.0,35.726
1941-01-31,32.5,14.0,23.2,0.0,32.5,162.994,10.0,39.416
1941-02-01,29.8,13.0,20.6,0.0,29.8,163.276,10.0,35.043
1941-02-02,30.2,12.0,12.0,0.0,30.2,163.567,10.0,30.065
1941-02-03,35.2,11.0,6.8,0.0,35.2,164.038,10.0,32.628
1941-02-04,37.6,10.0,7.4,0.0,37.6,164.622,10.0,37.145
1941-02-05,41.0,10.0,11.0,0.0,41.0,165.411,10.0,45.331
1941-02-06,39.6,14.0,19.2,0.0,39.6,166.091,10.0,45.63
1941-02-07,36.5,16.0,18.1,0.0,36.5,166.59,10.0,37.376
