date,t15,rh15,wind15,rain24,tmax,kbdi,df,ffdi
1941-01-01,36.4,15.0,8.5,0.0,36.4,138.122,10.0,30.8
1941-01-02,35.9,14.0,22.2,0.0,36.5,139.464,10.0,43.194
1941-01-03,35.6,14.0,14.4,0.0,36.0,140.717,10.0,35.625
1941-01-04,36.4,12.0,13.0,0.0,36.5,142.006,10.0,37.952
1941-01-05,38.5,10.0,21.3,0.0,39.4,143.661,10.0,53.012
1941-01-06,34.8,20.0,25.0,0.0,36.2,144.854,10.0,36.127
1941-01-07,34.7,21.0,24.0,0.0,35.3,145.928,10.0,33.98
1941-01-08,35.1,23.0,12.1,0.0,35.7,147.022,10.0,24.333
1941-01-09,29.6,34.0,14.2,0.0,31.0,147.703,10.0,14.52
1941-01-10,35.7,23.0,18.6,0.0,35.8,148.773,10.0,28.91
1941-01-11,35.1,27.0,20.3,0.0,35.8,149.823,10.0,25.68
1941-01-12,30.4,40.0,25.7,0.0,30.5,150.438,10.0,15.874
1941-01-13,30.4,25.0,25.4,0.0,30.7,151.059,10.0,26.448
1941-01-14,27.1,28.0,23.0,0.0,28.8,151.564,10.0,20.166
1941-01-15,30.9,13.0,11.0,0.0,30.9,152.183,10.0,29.053
1941-01-16,35.1,12.0,9.7,0.0,35.1,153.104,10.0,33.621
1941-01-17,35.2,12.0,9.4,0.0,35.9,154.08,10.0,33.499
1941-01-18,35.1,14.0,22.0,0.0,35.8,155.028,10.0,41.845
1941-01-19,38.7,10.0,20.5,0.0,38.8,156.26,10.0,52.382
1941-01-20,40.2,9.0,21.0,0.0,40.2,157.628,10.0,57.712
1941-01-21,40.7,7.0,19.0,0.0,40.9,159.044,10.0,60.013
1941-01-22,32.0,26.0,23.9,0.0,32.5,159.664,10.0,26.041
1941-01-23,28.7,31.0,32.6,0.0,32.3,160.263,10.0,24.027
1941-01-24,27.2,34.0,15.5,0.0,29.4,160.706,10.0,13.803
1941-01-25,33.6,17.0,6.2,0.0,33.6,161.37,10.0,24.781
