sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
1984314S08081,1985,Unnamed,65,3893.5786997621817,,,45.0,,0,,,1984-11-11 06:00:00,-9.8,71.9,False,1985-94
1984325S15052,1985,Anety,27,6506.102921477123,,,,,-5,36.0,1003.0,1984-11-21 15:00:00,-14.8,44.7,False,1985-94
1984337S11082,1985,Bobalahy,83,3629.1912891307306,,,55.0,,0,44.0,984.0,1984-12-04 12:00:00,-15.6,74.7,False,1985-94
1984339S05102,1985,Emma,77,47.71439181822387,65.0,967.0,45.0,,0,65.0,967.0,1984-12-10 12:00:00,-13.6,106.4,True,1985-94
1984343S10132,1985,Unnamed,45,497.4798650778419,,,35.0,,0,,,1984-12-12 00:00:00,-14.0,139.2,True,1985-94
1984355S16129,1985,Frank,75,24.036949697711517,85.0,950.0,75.0,,1,85.0,950.0,1984-12-24 09:00:00,-17.5,118.7,True,1985-94
1985009S11072,1985,Celestina,113,4572.414195894993,,,65.0,,1,52.0,976.0,1985-01-13 18:00:00,-17.1,55.7,False,1985-94
1985012S11085,1985,Unnamed,45,3059.405095863909,,,35.0,,0,,,1985-01-15 12:00:00,-15.2,85.2,False,1985-94
1985025S09073,1985,Ditra,59,4464.345670364119,,,70.0,,1,62.0,966.0,1985-01-28 18:00:00,-17.6,65.5,False,1985-94
1985026S16126,1985,Gertie,74,7.900612310518612,60.0,973.0,55.0,,0,60.0,973.0,1985-01-30 18:00:00,-19.4,117.1,True,1985-94
1985034S12082,1985,Esitera,65,3567.3697376861674,,,50.0,,0,44.0,984.0,1985-02-09 06:00:00,-16.6,53.3,False,1985-94
1985040S17054,1985,Esitera,20,6033.46739902699,,,,,-5,36.0,991.0,1985-02-10 15:00:00,-17.1,53.150000000000006,False,1985-94
1985041S14129,1985,Hubert,75,39.1758993272517,80.0,954.0,55.0,,0,80.0,954.0,1985-02-13 18:00:00,-16.9,114.4,True,1985-94
1985043S16042,1985,Feliksa,57,6871.275160477523,,,50.0,,0,52.0,976.0,1985-02-15 18:00:00,-13.3,45.3,False,1985-94
1985042S08101,1985,Isobel,87,1191.9614972592842,75.0,960.0,50.0,,0,75.0,960.0,1985-02-17 00:00:00,-15.5,105.0,False,1985-94
1985050S12076,1985,Unnamed,21,2854.7574387710033,,,35.0,,0,,,1985-02-18 18:00:00,-12.2,76.7,False,1985-94
1985046S09128,1985,Jacob,105,185.98260243780533,75.0,950.0,75.0,,1,75.0,950.0,1985-02-20 00:00:00,-15.5,113.3,True,1985-94
1985042S18060,1985,Gerimena,171,5045.351114945916,,,65.0,,1,44.0,984.0,1985-02-21 18:00:00,-21.4,50.1,False,1985-94
1985060S11112,1985,Kirsty,148,414.3317544916889,110.0,920.0,115.0,,4,110.0,920.0,1985-03-09 06:00:00,-14.7,85.4,True,1985-94
1985065S09118,1985,Lindsay,48,52.15583845564205,80.0,950.0,55.0,,0,80.0,950.0,1985-03-09 06:00:00,-16.0,120.7,True,1985-94
1985078S14138,1985,Sandy,125,10.803148157982424,105.0,953.0,120.0,,4,105.0,953.0,1985-03-22 18:00:00,-14.4,138.8,True,1985-94
1985101S10136,1985,Gretel,25,261.2462913503194,50.0,984.0,45.0,,0,50.0,984.0,1985-04-12 18:00:00,-11.9,131.3,True,1985-94
