SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,USA_WIND,USA_PRES,USA_SSHS,BOM_WIND,BOM_PRES,dist_wa_km
1984339S05102,1985,SI,WA,EMMA,1984-12-03 18:00:00,TS,-5.3,102.0,20.0,1006.0,,,-5,20.0,1006.0,2263.4707364104565
1984339S05102,1985,SI,WA,EMMA,1984-12-03 21:00:00,TS,-5.3,101.5,,,,,-5,20.0,1005.0,2294.9132965077224
1984339S05102,1985,SI,WA,EMMA,1984-12-04 00:00:00,TS,-5.3,101.0,20.0,1004.0,,,-5,20.0,1004.0,2327.173682648096
1984339S05102,1985,SI,WA,EMMA,1984-12-04 03:00:00,TS,-5.4,100.5,,,,,-5,23.0,1004.0,2351.3635059534263
1984339S05102,1985,SI,WA,EMMA,1984-12-04 06:00:00,TS,-5.5,100.0,25.0,1003.0,,,-5,25.0,1003.0,2376.5520626519456
1984339S05102,1985,SI,WA,EMMA,1984-12-04 09:00:00,TS,-5.6,99.5,,,,,-5,25.0,1002.0,2402.7063470128373
1984339S05102,1985,SI,WA,EMMA,1984-12-04 12:00:00,TS,-5.8,99.1,25.0,1001.0,,,-5,25.0,1001.0,2414.151539529588
1984339S05102,1985,SI,WA,EMMA,1984-12-04 15:00:00,TS,-6.0,98.8,,,,,-5,25.0,1000.0,2419.1339167096226
1984339S05102,1985,SI,WA,EMMA,1984-12-04 18:00:00,TS,-6.2,98.5,25.0,999.0,,,-5,25.0,999.0,2424.7030000408995
1984339S05102,1985,SI,WA,EMMA,1984-12-04 21:00:00,TS,-6.5,98.3,,,,,-5,28.0,998.0,2415.184347990915
1984339S05102,1985,SI,WA,EMMA,1984-12-05 00:00:00,TS,-6.7,98.1,30.0,997.0,,,-5,30.0,997.0,2414.2492739129707
1984339S05102,1985,SI,WA,EMMA,1984-12-05 03:00:00,TS,-6.9,98.0,,,,,-5,30.0,997.0,2405.955270171295
1984339S05102,1985,SI,WA,EMMA,1984-12-05 06:00:00,TS,-7.2,98.0,30.0,997.0,,,-5,30.0,997.0,2382.2061505683027
1984339S05102,1985,SI,WA,EMMA,1984-12-05 09:00:00,TS,-7.3,98.0,,,,,-5,30.0,997.0,2374.3386993728973
1984339S05102,1985,SI,WA,EMMA,1984-12-05 12:00:00,TS,-7.5,98.0,30.0,996.0,,,-5,30.0,996.0,2358.6786525112025
1984339S05102,1985,SI,WA,EMMA,1984-12-05 15:00:00,TS,-7.6,98.0,,,,,-5,30.0,996.0,2350.8865563914514
1984339S05102,1985,SI,WA,EMMA,1984-12-05 18:00:00,TS,-7.7,98.1,30.0,996.0,,,-5,30.0,996.0,2335.232825522221
1984339S05102,1985,SI,WA,EMMA,1984-12-05 21:00:00,TS,-7.9,98.1,,,,,-5,30.0,996.0,2319.7314016194046
1984339S05102,1985,SI,WA,EMMA,1984-12-06 00:00:00,TS,-8.0,98.2,30.0,995.0,,,-5,30.0,995.0,2304.0853684139724
1984339S05102,1985,SI,WA,EMMA,1984-12-06 03:00:00,TS,-8.1,98.3,,,,,-5,30.0,995.0,2288.4414173826367
1984339S05102,1985,SI,WA,EMMA,1984-12-06 06:00:00,TS,-8.2,98.3,30.0,995.0,,,-5,30.0,995.0,2280.736561922297
1984339S05102,1985,SI,WA,EMMA,1984-12-06 09:00:00,TS,-8.3,98.5,,,,,-5,30.0,995.0,2257.159885055491
1984339S05102,1985,SI,WA,EMMA,1984-12-06 12:00:00,TS,-8.4,98.6,30.0,995.0,,,-5,30.0,995.0,2241.5223659983712
1984339S05102,1985,SI,WA,EMMA,1984-12-06 15:00:00,TS,-8.5,98.7,,,,,-5,33.0,995.0,2225.8870536109466
1984339S05102,1985,SI,WA,EMMA,1984-12-06 18:00:00,TS,-8.6,98.9,35.0,994.0,,,-5,35.0,994.0,2202.3352529612343
1984339S05102,1985,SI,WA,EMMA,1984-12-06 21:00:00,TS,-8.6,99.0,,,,,-5,35.0,994.0,2194.4399666776917
1984339S05102,1985,SI,WA,EMMA,1984-12-07 00:00:00,TS,-8.7,99.1,35.0,993.0,,,-5,35.0,993.0,2178.806935092714
1984339S05102,1985,SI,WA,EMMA,1984-12-07 03:00:00,TS,-8.8,99.2,,,,,-5,38.0,993.0,2163.176137744239
1984339S05102,1985,SI,WA,EMMA,1984-12-07 06:00:00,TS,-9.0,99.3,40.0,992.0,,,-5,40.0,992.0,2139.8210376976085
1984339S05102,1985,SI,WA,EMMA,1984-12-07 09:00:00,TS,-9.1,99.5,,,,,-5,40.0,992.0,2116.297460790822
