sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
1984339S05102,1985,Emma,77,47.71439181822387,65.0,967.0,45.0,,0,65.0,967.0,1984-12-10 12:00:00,-13.6,106.4,True,1985-94
1984343S10132,1985,Unnamed,45,497.4798650778419,,,35.0,,0,,,1984-12-12 00:00:00,-14.0,139.2,True,1985-94
1984355S16129,1985,Frank,75,24.036949697711517,85.0,950.0,75.0,,1,85.0,950.0,1984-12-24 09:00:00,-17.5,118.7,True,1985-94
1985026S16126,1985,Gertie,74,7.900612310518612,60.0,973.0,55.0,,0,60.0,973.0,1985-01-30 18:00:00,-19.4,117.1,True,1985-94
1985041S14129,1985,Hubert,75,39.1758993272517,80.0,954.0,55.0,,0,80.0,954.0,1985-02-13 18:00:00,-16.9,114.4,True,1985-94
1985046S09128,1985,Jacob,105,185.98260243780533,75.0,950.0,75.0,,1,75.0,950.0,1985-02-20 00:00:00,-15.5,113.3,True,1985-94
1985060S11112,1985,Kirsty,148,414.3317544916889,110.0,920.0,115.0,,4,110.0,920.0,1985-03-09 06:00:00,-14.7,85.4,True,1985-94
1985065S09118,1985,Lindsay,48,52.15583845564205,80.0,950.0,55.0,,0,80.0,950.0,1985-03-09 06:00:00,-16.0,120.7,True,1985-94
1985078S14138,1985,Sandy,125,10.803148157982424,105.0,953.0,120.0,,4,105.0,953.0,1985-03-22 18:00:00,-14.4,138.8,True,1985-94
1985101S10136,1985,Gretel,25,261.2462913503194,50.0,984.0,45.0,,0,50.0,984.0,1985-04-12 18:00:00,-11.9,131.3,True,1985-94
1985100S07104,1985,Margot,120,483.62863417376747,85.0,942.0,70.0,,1,85.0,942.0,1985-04-14 18:00:00,-13.9,103.1,True,1985-94
1986011S12130,1986,Unnamed,29,100.65915488125711,,,35.0,,0,,,1986-01-13 06:00:00,-13.4,122.3,True,1985-94
1986017S12131,1986,Hector,74,108.75267891940965,40.0,982.0,45.0,,0,40.0,982.0,1986-01-19 05:00:00,-13.4,128.9,True,1985-94
1986048S16116,1986,Rhonda,43,88.48793762441716,65.0,968.0,50.0,,0,65.0,968.0,1986-02-19 18:00:00,-21.7,113.2,True,1985-94
1986052S13114,1986,Selwyn,41,491.2099028021201,60.0,980.0,50.0,,0,60.0,980.0,1986-02-23 18:00:00,-18.7,110.9,True,1985-94
1986056S09130,1986,Tiffany,35,161.59268804440234,50.0,984.0,35.0,,0,50.0,984.0,1986-02-28 00:00:00,-17.9,111.2,True,1985-94
1986061S13124,1986,Victor,60,209.45460266253224,100.0,930.0,105.0,,3,100.0,930.0,1986-03-05 06:00:00,-17.5,116.2,True,1985-94
1986124S05090,1986,Billy:Lila,91,31.73213004820766,90.0,950.0,95.0,,2,90.0,950.0,1986-05-10 12:00:00,-16.8,89.6,True,1985-94
1986130S15088,1986,Lila,24,158.82312221946992,,,,,-5,,,1986-05-11 21:00:00,-23.049999999999997,93.35,True,1985-94
1987015S16125,1987,Connie,67,32.34754577224136,85.0,950.0,55.0,,0,85.0,950.0,1987-01-19 03:00:00,-19.8,118.5,True,1985-94
1987031S15124,1987,Damien,74,39.60601435567251,50.0,980.0,50.0,,0,50.0,980.0,1987-02-02 18:00:00,-17.0,121.9,True,1985-94
1987053S15127,1987,Elsie,48,31.541100343835765,100.0,940.0,60.0,,0,100.0,940.0,1987-02-25 06:00:00,-19.3,120.9,True,1985-94
1987096S11144,1987,Kay,89,146.1679804193702,60.0,976.0,65.0,,1,60.0,976.0,1987-04-12 18:00:00,-14.2,122.0,True,1985-94
1988138S07092,1988,Herbie,39,51.419056690263766,50.0,982.0,35.0,,0,50.0,982.0,1988-05-20 18:00:00,-25.1,110.1,True,1985-94
1988347S12128,1989,Ilona,65,24.30377802488219,80.0,960.0,85.0,,2,80.0,960.0,1988-12-17 00:00:00,-18.3,115.3,True,1985-94
1989054S17117,1989,Unnamed,17,38.162982765090376,,,45.0,,0,,,1989-02-24 00:00:00,-20.0,117.3,True,1985-94
1989084S18122,1989,Ned,63,25.770282539529752,100.0,941.0,100.0,,3,100.0,941.0,1989-03-28 12:00:00,-20.0,109.3,True,1985-94
1989106S11128,1989,Orson,67,54.97126746245127,130.0,905.0,140.0,,5,130.0,905.0,1989-04-22 00:00:00,-16.4,116.2,True,1985-94
1990012S12131,1990,Sam,77,45.77335550168447,70.0,966.0,50.0,,0,70.0,966.0,1990-01-17 06:00:00,-19.0,107.7,True,1985-94
1990024S14117,1990,Tina,57,24.96297462232649,50.0,976.0,45.0,,0,50.0,976.0,1990-01-26 12:00:00,-17.5,112.8,True,1985-94
1990056S11125,1990,Vincent,79,241.2593317488502,70.0,966.0,70.0,,1,70.0,966.0,1990-03-04 00:00:00,-21.2,110.6,True,1985-94
1990343S10128,1991,Laurence,33,63.515257089608355,35.0,992.0,35.0,,0,35.0,992.0,1990-12-10 12:00:00,-12.5,128.9,True,1985-94
1991046S15122,1991,Chris,67,188.9242252461391,60.0,976.0,50.0,,0,60.0,976.0,1991-02-19 00:00:00,-15.7,116.8,True,1985-94
1991046S18150,1991,Daphne,109,38.60837392089952,60.0,976.0,60.0,,0,60.0,976.0,1991-02-23 06:00:00,-20.1,116.0,True,1985-94
1991099S10132,1991,Marian,83,376.7963146715586,100.0,930.0,95.0,,2,100.0,930.0,1991-04-13 00:00:00,-13.4,120.3,True,1985-94
1991105S12103,1991,Fifi,55,347.01677913184295,60.0,975.0,55.0,,0,60.0,975.0,1991-04-17 18:00:00,-14.8,102.2,True,1985-94
