season,sst_anom_NovApr,wa_mean_wind_kt,wa_mean_pres_hPa
1985,-0.14076996,79.5,954.3
1986,-0.4835342,67.5,965.6666666666666
1987,-0.25259367,73.75,961.5
1988,0.12036133,50.0,982.0
1989,-0.201595,103.33333333333333,935.3333333333334
1990,-0.26104417,63.333333333333336,969.3333333333334
1991,-0.09376971,63.0,969.8
1992,-0.23182265,107.5,937.5
1993,-0.5206105,55.0,972.0
1994,-0.45337963,78.0,958.0
1995,-0.02008756,108.33333333333333,923.3333333333334
1996,-0.23525016,82.5,954.1666666666666
1997,-0.1712939,67.5,965.0
1998,0.37674585,72.5,967.75
1999,-0.33898798,104.0,928.0
2000,-0.033400852,89.28571428571429,947.1428571428571
2001,-0.35660395,60.0,974.1428571428571
2002,0.021535555,60.0,964.6666666666666
2003,0.15863197,63.0,969.6
2004,-0.0629228,78.75,951.5
2005,-0.0059137344,70.0,964.75
2006,-0.44236025,75.625,955.875
2007,-0.07341131,78.75,951.5
2008,-0.17380428,68.0,960.8
2009,-0.094249405,63.0,974.8
2010,0.27079996,90.0,950.0
2011,0.101112686,57.142857142857146,977.2857142857143
2012,0.33344397,63.75,965.5
2013,0.29171816,71.25,962.5
2014,0.3419641,68.0,968.8
2015,0.41254616,85.0,958.0
2016,0.69847965,42.5,987.0
2017,-0.17774391,46.42857142857143,987.4285714285714
2018,-0.034875233,80.0,953.75
2019,-0.044554394,80.0,961.3333333333334
2020,0.52291554,58.0,976.8
2021,0.21996625,53.333333333333336,979.3333333333334
2022,0.42790285,55.0,981.6
2023,-0.09538587,68.33333333333333,965.6666666666666
2024,0.54892063,86.25,955.25
