#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Murray River - Baden Powell (614006)"
#,"Catchment area:", 6772.9,"km^2"
#,"Location:", 116.0843,"degrees E", 32.7722,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",14/06/2024
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1963-05-26,294.01920000031924,A
1963-05-27,259.97759999976745,A
1963-05-28,245.28959999984565,A
1963-05-29,353.80800000008867,A
1963-05-30,470.18880000033363,A
1963-05-31,503.0207999999995,A
1963-06-01,1014.2496000022863,A
1963-06-02,1073.174400002777,A
1963-06-03,1114.3008000031,A
1963-06-04,1025.1359999973913,A
1963-06-05,1157.2416000003495,A
1963-06-06,1499.212800002266,A
1963-06-07,1979.59680000194,A
1963-06-08,2042.150400003057,A
1963-06-09,2586.1247999991892,A
1963-06-10,4277.664000000774,A
1963-06-11,4170.960000002198,A
1963-06-12,3684.9600000001037,A
1963-06-13,4362.681599998027,A
1963-06-14,4314.124799998357,A
1963-06-15,3685.910399999785,A
1963-06-16,4012.1567999989884,A
1963-06-17,5750.00639999792,A
1963-06-18,4923.331200003325,A
1963-06-19,3406.2335999984566,A
1963-06-20,2411.769599998133,A
1963-06-21,1848.6143999967564,A
1963-06-22,1609.891199997657,A
1963-06-23,1473.2927999968263,A
1963-06-24,1387.7567999985167,A
1963-06-25,1674.7775999967575,A
1963-06-26,2067.552000000667,A
1963-06-27,3143.231999999522,A
1963-06-28,3389.2992000023078,A
1963-06-29,4358.448000000682,A
1963-06-30,5375.375999997142,A
1963-07-01,7779.542400024924,A
1963-07-02,8798.28479999122,A
1963-07-03,9202.464000025155,A
1963-07-04,8311.07520000246,A
1963-07-05,9028.454399986424,A
1963-07-06,10093.766399991231,A
