#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Brockman River - Yalliawirra (616019)"
#,"Catchment area:", 1520.7,"km^2"
#,"Location:", 116.1178,"degrees E", 31.6744,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",14/06/2024
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1975-04-10,0.0,A
1975-04-11,0.0,A
1975-04-12,0.17279886368849823,A
1975-04-13,0.6047960229097437,A
1975-04-14,0.6911954547539929,A
1975-04-15,1.03679318213251,A
1975-04-16,1.2959914776652572,A
1975-04-17,1.98718693241925,A
1975-04-18,3.887974432998813,A
1975-04-19,3.110379546396009,A
1975-04-20,2.246385227953518,A
1975-04-21,2.419184091648099,A
1975-04-22,2.246385227953518,A
1975-04-23,2.159985796113831,A
1975-04-24,2.246385227953518,A
1975-04-25,1.98718693241925,A
1975-04-26,2.419184091648099,A
1975-04-27,3.023980114556322,A
1975-04-28,3.110379546396009,A
1975-04-29,3.196778978235696,A
1975-04-30,2.764781819022054,A
1975-05-01,2.246385227953518,A
1975-05-02,1.900787500579563,A
1975-05-03,1.8143880687246692,A
1975-05-04,1.8143880687246692,A
1975-05-05,85.27623923037879,A
1975-05-06,21.51345852931383,A
1975-05-07,8.553543752585224,A
1975-05-08,5.097566478815259,A
1975-05-09,4.060773296678187,A
1975-05-10,3.628776137464545,A
1975-05-11,3.369577841930277,A
1975-05-12,3.2831784100905894,A
1975-05-13,3.2831784100905894,A
1975-05-14,3.196778978235696,A
1975-05-15,3.196778978235696,A
1975-05-16,3.2831784100905894,A
1975-05-17,3.369577841930277,A
1975-05-18,3.4559772737699643,A
1975-05-19,3.369577841930277,A
1975-05-20,3.2831784100905894,A
1975-05-21,5.961560797257751,A
1975-05-22,5.788761933563169,A
1975-05-23,3.887974432998813,A
1975-05-24,3.5423767056248585,A
1975-05-25,3.8015750011439193,A
1975-05-26,3.9743738648385,A
1975-05-27,3.9743738648385,A
1975-05-28,10.540730685004473,A
1975-05-29,9.331138639188028,A
1975-05-30,6.998353979394823,A
1975-05-31,8.121546593371582,A
1975-06-01,9.849535230256565,A
1975-06-02,22.204653984061743,A
1975-06-03,16.15669375482744,A
1975-06-04,14.169506822469017,A
1975-06-05,11.750322730836126,A
1975-06-06,9.763135798416876,A
1975-06-07,17.711883528124293,A
1975-06-08,17.711883528124293,A
1975-06-09,15.46549830007953,A
1975-06-10,13.996707958789646,A
1975-06-11,11.83672216267581,A
1975-06-12,10.195132957630518,A
1975-06-13,8.81274204811949,A
1975-06-14,7.862348297837314,A
1975-06-15,7.5167505704633575,A
1975-06-16,11.923121594515498,A
1975-06-17,61.0843983138978,A
1975-06-18,27.820617053869498,A
1975-06-19,21.686257392962794,A
1975-06-20,19.35347273309355,A
1975-06-21,23.75984375720652,A
1975-06-22,18.662277278345645,A
1975-06-23,16.502291482277432,A
1975-06-24,29.462206258990832,A
1975-06-25,35.25096819244755,A
1975-06-26,72.74832161293989,A
1975-06-27,94.43457900590266,A
1975-06-28,69.0331460435748,A
1975-06-29,49.50687444683229,A
1975-06-30,38.7069454661871,A
1975-07-01,31.708591486883524,A
1975-07-02,29.20300796336532,A
1975-07-03,29.548605690815315,A
1975-07-04,24.796636939252352,A
1975-07-05,22.291053415886225,A
1975-07-06,19.95826875601698,A
1975-07-07,19.09427443762011,A
1975-07-08,18.48947841469668,A
1975-07-09,20.30386648346697,A
1975-07-10,20.21746705164249,A
1975-07-11,27.215821030946067,A
1975-07-12,102.38332673557964,A
1975-07-13,125.88397219716067,A
1975-07-14,89.42341195886627,A
1975-07-15,85.88103525330222,A
1975-07-16,212.5426023368832,A
1975-07-17,254.7919245087864,A
1975-07-18,316.9131160048821,A
1975-07-19,290.04289270199433,A
1975-07-20,294.1900654292652,A
1975-07-21,329.0090364633507,A
1975-07-22,339.0313705574235,A
1975-07-23,376.09672681833723,A
1975-07-24,383.5270779576756,A
1975-07-25,380.4166984110819,A
1975-07-26,355.3608631758999,A
1975-07-27,710.1169303287243,A
1975-07-28,2114.885292687462,C
1975-07-29,1817.3256494103507,C
1975-07-30,2328.55108763928,C
1975-07-31,2232.4749194303854,C
