station,name,decade,days_ge_35,days_ge_40,txx_c,hw_events,hw_days
9021,BoM CDO station 9021,1940,21.0,1.4,40.66,3.0,10.0
9021,BoM CDO station 9021,1950,23.9,3.1,41.46,3.3,12.1
9021,BoM CDO station 9021,1960,24.2,4.6,42.02,3.0,10.8
9021,BoM CDO station 9021,1970,30.0,3.7,41.91,4.2,15.8
9021,BoM CDO station 9021,1980,25.1,4.2,42.7,3.9,14.6
9021,BoM CDO station 9021,1990,28.9,4.6,42.48,3.6,12.8
9021,BoM CDO station 9021,2000,29.0,4.0,42.47,4.8,18.6
9021,BoM CDO station 9021,2010,36.2,5.9,42.61,7.2,29.0
9021,BoM CDO station 9021,2020,43.33,8.5,43.45,8.67,37.0
ASN00004032,"PORT HEDLAND AIRPORT, AS",1950,130.4,29.2,44.76,3.5,14.2
ASN00004032,"PORT HEDLAND AIRPORT, AS",1960,138.5,30.7,45.03,4.7,17.4
ASN00004032,"PORT HEDLAND AIRPORT, AS",1970,129.5,27.9,45.13,3.0,11.9
ASN00004032,"PORT HEDLAND AIRPORT, AS",1980,134.4,29.1,45.34,4.1,16.2
ASN00004032,"PORT HEDLAND AIRPORT, AS",1990,144.7,30.6,45.51,4.6,18.4
ASN00004032,"PORT HEDLAND AIRPORT, AS",2000,149.7,36.3,46.17,5.4,25.6
ASN00004032,"PORT HEDLAND AIRPORT, AS",2010,157.6,35.6,45.11,8.1,34.4
ASN00004032,"PORT HEDLAND AIRPORT, AS",2020,162.5,32.5,46.05,7.17,36.83
ASN00009021,"PERTH AIRPORT, AS",1950,23.9,3.1,41.46,3.3,12.1
ASN00009021,"PERTH AIRPORT, AS",1960,24.2,4.6,42.02,3.0,10.8
ASN00009021,"PERTH AIRPORT, AS",1970,30.0,3.7,41.91,4.2,15.8
ASN00009021,"PERTH AIRPORT, AS",1980,25.1,4.2,42.7,3.9,14.6
ASN00009021,"PERTH AIRPORT, AS",1990,28.9,4.6,42.48,3.6,12.8
ASN00009021,"PERTH AIRPORT, AS",2000,29.1,4.0,42.47,4.8,18.6
ASN00009021,"PERTH AIRPORT, AS",2010,36.2,5.9,42.61,7.2,29.0
ASN00009021,"PERTH AIRPORT, AS",2020,43.33,8.5,43.45,8.67,37.0
