year,hours_present,complete,feed,mean_mm,median_mm,max_mm,p99_mm,p999_mm,anom_mm,hours_ge_b1,adj_hours_ge_b1,hours_ge_b2,adj_hours_ge_b2,hours_ge_b3,adj_hours_ge_b3,days_ge_b2
1984,8784,True,rqds,766.4,760.0,1570.0,1350.0,1500.4,51.1,171,105,92,36,21,4,21
1985,8760,True,rqds,735.9,740.0,1570.0,1290.0,1480.0,20.6,109,70,46,38,12,6,10
1986,8758,True,rqds,694.0,680.0,1560.0,1240.0,1480.0,-21.3,64,76,29,37,10,12,9
1987,8756,True,rqds,656.2,650.0,1370.0,1170.0,1280.0,-59.1,12,26,2,7,0,0,1
1988,8784,True,rqds,776.6,760.0,1700.0,1340.0,1612.2,61.3,160,83,83,38,28,18,25
1989,8727,True,rqds,780.1,760.0,1510.0,1310.0,1460.0,64.8,136,48,48,19,7,0,13
1990,8575,True,rqds,699.1,680.0,1580.0,1280.0,1480.0,-16.3,90,93,43,51,13,13,10
1991,8052,False,rqds,695.9,680.0,1510.0,1280.0,1460.0,-19.4,95,101,55,59,7,7,17
1992,8736,True,rqds,698.8,680.0,1560.0,1270.0,1442.7,-16.5,84,89,42,47,6,7,14
1993,8755,True,rqds,648.0,650.0,1280.0,1100.0,1210.0,-67.3,1,7,0,0,0,0,0
1994,8760,True,rqds,685.4,670.0,1470.0,1190.0,1390.0,-29.9,41,50,20,26,0,1,7
1995,8760,True,rqds,745.6,730.0,1740.0,1270.0,1450.0,30.3,79,51,34,21,7,6,14
1996,8784,True,rqds,821.7,810.0,1640.0,1380.0,1580.0,106.4,193,85,116,47,38,7,28
1997,8760,True,rqds,702.8,700.0,1450.0,1230.0,1380.0,-12.5,55,59,20,22,0,0,9
1998,8759,True,rqds,743.6,740.0,1670.0,1270.0,1510.0,28.3,85,70,51,33,14,10,16
1999,8760,True,rqds,875.8,868.0,1620.0,1399.0,1542.2,160.5,366,51,159,13,27,0,39
2000,8784,True,rqds,851.8,840.0,1573.0,1386.2,1520.3,136.5,304,59,136,20,23,0,34
2001,8760,True,rqds,779.1,769.0,1446.0,1281.4,1372.0,63.8,92,28,23,2,0,0,11
2002,8760,True,rqds,715.1,708.0,1491.0,1262.0,1429.9,-0.2,74,74,26,26,1,1,9
2003,8760,True,rqds,741.3,732.0,1947.0,1335.2,1619.4,26.0,142,118,85,70,29,23,17
2004,8784,True,rqds,742.9,734.0,1689.0,1339.2,1562.2,27.6,135,110,82,71,30,28,18
2005,8760,True,rqds,760.4,754.0,1691.0,1315.8,1492.7,45.1,125,76,58,28,12,8,19
2006,8760,True,rqds,752.8,752.0,1543.0,1263.4,1450.0,37.5,75,56,41,29,5,3,14
2007,8760,True,rqds,777.5,773.0,1628.0,1307.0,1543.2,62.2,123,59,57,37,22,9,14
2008,8784,True,rqds,857.7,854.0,1706.0,1368.3,1536.0,142.4,292,42,130,14,20,3,45
2009,8760,True,rqds,806.3,802.0,1666.0,1364.0,1567.4,91.0,205,81,99,42,32,9,27
2010,8760,True,rqds,797.8,789.0,1609.0,1329.0,1471.7,82.5,172,55,66,14,8,1,22
2011,8760,True,rqds,924.9,920.0,1759.0,1475.4,1642.0,209.6,524,75,271,34,85,5,59
2012,8784,True,rqds,894.8,889.0,1938.0,1453.0,1615.5,179.5,412,81,203,31,65,3,44
2013,8760,True,rqds,894.9,891.0,1672.0,1396.8,1577.5,179.6,347,50,148,25,41,2,38
2014,8760,True,rqds,823.4,815.0,1677.0,1294.0,1437.3,108.1,106,16,36,8,8,5,16
2015,8760,True,rqds,782.5,766.0,1658.0,1278.0,1412.6,67.2,83,29,27,9,7,5,9
2016,8616,True,rqds,787.6,779.0,1704.0,1249.9,1424.7,72.3,61,29,30,9,6,4,11
2017,8371,True,rqds,836.6,832.0,1638.0,1322.0,1475.8,121.3,126,32,63,10,8,1,17
2018,8743,True,rqds,808.0,792.0,1610.0,1370.0,1563.3,92.7,208,83,109,32,21,8,26
2019,8635,True,rqds,778.6,764.0,1731.0,1289.3,1568.4,63.3,97,51,48,35,24,15,8
2020,8287,False,rqds,842.5,837.0,1891.0,1366.1,1624.1,127.2,213,48,103,24,24,9,26
2021,8715,True,rqds,920.8,914.0,1772.0,1452.9,1677.0,205.5,515,65,247,31,67,9,55
2022,8760,True,fd,950.5,940.0,1648.0,1486.0,1606.2,235.2,684,61,355,13,93,0,79
2023,8760,True,fd,866.2,861.0,1745.0,1440.4,1623.7,150.9,376,96,187,39,55,8,41
2024,4330,False,fd,820.5,809.0,1621.0,1381.0,1574.4,105.1,118,41,56,15,11,4,16
2025,7241,False,fd,953.0,941.0,1632.0,1477.6,1597.0,237.7,694,39,376,11,71,0,86
2026,2628,False,fd,849.7,856.5,1453.0,1300.5,1434.5,134.4,34,5,16,0,0,0,5
