year,feed,hours_ge_b2,adj_hours_ge_b2,anom_mm,mean_level_contribution
1984,rqds,92,36,51.1,56
1985,rqds,46,38,20.6,8
1986,rqds,29,37,-21.3,-8
1987,rqds,2,7,-59.1,-5
1988,rqds,83,38,61.3,45
1989,rqds,48,19,64.8,29
1990,rqds,43,51,-16.3,-8
1992,rqds,42,47,-16.5,-5
1993,rqds,0,0,-67.3,0
1994,rqds,20,26,-29.9,-6
1995,rqds,34,21,30.3,13
1996,rqds,116,47,106.4,69
1997,rqds,20,22,-12.5,-2
1998,rqds,51,33,28.3,18
1999,rqds,159,13,160.5,146
2000,rqds,136,20,136.5,116
2001,rqds,23,2,63.8,21
2002,rqds,26,26,-0.2,0
2003,rqds,85,70,26.0,15
2004,rqds,82,71,27.6,11
2005,rqds,58,28,45.1,30
2006,rqds,41,29,37.5,12
2007,rqds,57,37,62.2,20
2008,rqds,130,14,142.4,116
2009,rqds,99,42,91.0,57
2010,rqds,66,14,82.5,52
2011,rqds,271,34,209.6,237
2012,rqds,203,31,179.5,172
2013,rqds,148,25,179.6,123
2014,rqds,36,8,108.1,28
2015,rqds,27,9,67.2,18
2016,rqds,30,9,72.3,21
2017,rqds,63,10,121.3,53
2018,rqds,109,32,92.7,77
2019,rqds,48,35,63.3,13
2021,rqds,247,31,205.5,216
2022,fd,355,13,235.2,342
2023,fd,187,39,150.9,148
