year,month,hours_ge_b2,complete_year
1984,4,6,True
1984,5,62,True
1984,6,12,True
1984,7,12,True
1985,4,5,True
1985,6,27,True
1985,7,6,True
1985,8,8,True
1986,5,6,True
1986,6,13,True
1986,7,10,True
1987,7,2,True
1988,5,32,True
1988,6,23,True
1988,7,8,True
1988,8,11,True
1988,9,9,True
1989,2,5,True
1989,4,24,True
1989,5,15,True
1989,7,4,True
1990,3,10,True
1990,4,2,True
1990,5,15,True
1990,6,7,True
1990,7,9,True
1991,5,13,False
1991,6,36,False
1991,7,1,False
1991,8,5,False
1992,6,39,True
1992,7,1,True
1992,8,2,True
1994,5,17,True
1994,6,3,True
1995,5,7,True
1995,6,10,True
1995,7,12,True
1995,8,4,True
1995,12,1,True
1996,4,4,True
1996,5,11,True
1996,6,41,True
1996,7,59,True
1996,9,1,True
1997,1,1,True
1997,5,7,True
1997,6,9,True
1997,7,3,True
1998,5,13,True
1998,6,24,True
1998,7,3,True
1998,8,3,True
1998,9,8,True
1999,4,2,True
1999,5,81,True
1999,6,29,True
1999,7,23,True
1999,10,8,True
1999,11,1,True
1999,12,15,True
2000,2,1,True
2000,4,39,True
2000,5,25,True
2000,6,24,True
2000,7,39,True
2000,8,6,True
2000,9,2,True
2001,2,2,True
2001,5,9,True
2001,6,4,True
2001,7,8,True
2002,5,4,True
2002,6,11,True
2002,7,11,True
2003,4,6,True
2003,5,31,True
2003,6,38,True
2003,7,4,True
2003,8,5,True
2003,9,1,True
2004,5,37,True
2004,6,20,True
2004,7,16,True
2004,8,9,True
2005,5,4,True
2005,6,42,True
2005,7,6,True
2005,8,6,True
2006,5,9,True
2006,6,18,True
2006,7,4,True
2006,8,10,True
2007,6,22,True
2007,7,26,True
2007,8,9,True
2008,1,1,True
2008,2,5,True
2008,3,2,True
2008,4,21,True
2008,5,31,True
2008,6,30,True
2008,7,40,True
2009,5,35,True
2009,6,43,True
2009,7,8,True
2009,8,5,True
2009,9,1,True
2009,11,5,True
2009,12,2,True
2010,4,1,True
2010,5,6,True
2010,6,13,True
2010,7,20,True
2010,8,2,True
2010,11,4,True
2010,12,20,True
2011,1,44,True
2011,2,52,True
2011,4,29,True
2011,5,58,True
2011,6,36,True
2011,7,35,True
2011,8,4,True
2011,9,5,True
2011,10,1,True
2011,11,6,True
2011,12,1,True
2012,1,24,True
2012,2,21,True
2012,3,25,True
2012,4,5,True
2012,5,26,True
2012,6,78,True
2012,7,5,True
2012,9,1,True
2012,11,15,True
2012,12,3,True
2013,1,20,True
2013,2,2,True
2013,4,2,True
2013,5,49,True
2013,6,41,True
2013,7,13,True
2013,8,5,True
2013,9,10,True
2013,12,6,True
2014,1,1,True
2014,5,7,True
2014,6,15,True
2014,7,5,True
2014,8,1,True
2014,9,7,True
2015,3,2,True
2015,4,4,True
2015,5,17,True
2015,6,3,True
2015,7,1,True
2016,4,1,True
2016,5,12,True
2016,6,7,True
2016,7,5,True
2016,8,4,True
2016,9,1,True
2017,5,6,True
2017,6,28,True
2017,7,15,True
2017,8,8,True
2017,12,6,True
2018,1,6,True
2018,4,2,True
2018,5,42,True
2018,6,25,True
2018,7,28,True
2018,8,5,True
2018,10,1,True
2019,6,38,True
2019,7,5,True
2019,8,5,True
2020,5,41,False
2020,6,24,False
2020,7,19,False
2020,8,11,False
2020,12,8,False
2021,1,15,True
2021,3,11,True
2021,4,10,True
2021,5,30,True
2021,6,39,True
2021,7,110,True
2021,8,19,True
2021,9,2,True
2021,10,9,True
2021,11,1,True
2021,12,1,True
2022,1,7,True
2022,2,3,True
2022,3,17,True
2022,4,15,True
2022,5,69,True
2022,6,76,True
2022,7,51,True
2022,8,71,True
2022,9,4,True
2022,11,19,True
2022,12,23,True
2023,1,18,True
2023,2,22,True
2023,3,2,True
2023,4,34,True
2023,5,30,True
2023,6,23,True
2023,7,38,True
2023,8,8,True
2023,9,6,True
2023,11,6,True
2024,8,7,False
2024,11,12,False
2024,12,37,False
2025,1,69,False
2025,2,23,False
2025,4,16,False
2025,5,87,False
2025,6,58,False
2025,7,47,False
2025,8,32,False
2025,9,10,False
2025,10,3,False
2025,11,31,False
2026,1,12,False
2026,2,2,False
2026,3,2,False
