series,n,mk_p,mk_trend,sen_slope_per_yr,ols_slope_per_yr,ols_p
"high-water hours (b1), 1984-2023",38,0.006616949511313274,increasing,4.222222222222222,6.971901997948895,0.0009507184083747756
"high-water hours (b1), 1993-2023",30,0.006691154493964844,increasing,6.958333333333333,9.326183939601924,0.005097805926944935
"high-water hours (b2), 1984-2023",38,0.0076836179267504405,increasing,2.2083333333333335,3.4593671640508807,0.0012760616008712386
"high-water hours (b2), 1993-2023",30,0.009671412066857506,increasing,3.6,4.648592999313658,0.0060591005907804875
"high-water hours (b3), 1984-2023",38,0.011329696684474673,increasing,0.5555555555555556,0.9941581069689276,0.001853381972106239
"high-water hours (b3), 1993-2023",30,0.00814272792993952,increasing,1.0,1.4169526424159233,0.004876011698247371
"mean-adjusted hours (b2), 1984-2023",38,0.392312860032067,no trend,-0.21428571428571427,-0.21505468720636167,0.37144028056883815
"mean-adjusted hours (b2), 1993-2023",30,0.8164462201793288,no trend,0.125,-0.06331503088538089,0.8606946350923461
"high-water days (b2), 1984-2023",38,0.004088662826796208,increasing,0.5333333333333333,0.7587856594412616,0.0010986157125700636
"high-water days (b2), 1993-2023",30,0.023235117560684675,increasing,0.7083333333333334,0.9486101578586137,0.009170493529921714
"annual mean level, 1984-2023",38,7.6197701978125465e-06,increasing,4.53103448275862,4.448137091188299,3.216378115877488e-06
"annual mean level, 1993-2023",30,0.00023761439944936189,increasing,5.5428571428571525,5.278079958819492,0.00015954126558718218
"annual max hourly level, 1984-2023",38,0.0010784746807808345,increasing,5.0,5.769551280330325,0.0013006135360897637
"annual max hourly level, 1993-2023",30,0.013814067737925033,increasing,5.857142857142857,6.9764070006863435,0.01011922208201053
"annual 99.9th percentile, 1984-2023",38,0.014693382531220937,increasing,3.56206896551724,3.7857394451275495,0.0057383091650946155
"annual 99.9th percentile, 1993-2023",30,0.007843421147048474,increasing,5.100000000000136,5.754332532601236,0.0037994727950316693
