year,mhw_days,max_intensity_c,mean_sst_c,days_missing,complete
1982,41,2.6248894444177395,25.41010958904109,0,True
1983,14,2.4119965692683323,25.348177857624073,0,True
1984,99,2.129275739948394,25.726490638717195,0,True
1985,21,2.329151306828198,24.9938149562093,0,True
1986,0,0.0,24.334040422187293,0,True
1987,9,1.5735654375590862,24.81789490231305,0,True
1988,105,2.495529782222011,25.882457672668636,0,True
1989,21,1.9965539797766176,25.600177857624075,0,True
1990,0,0.0,24.832844374578936,0,True
1991,6,1.443395125234371,24.885531551762856,0,True
1992,0,0.0,24.72258129535071,0,True
1993,0,0.0,24.325030316640465,0,True
1994,12,2.245492873186734,25.243181226139686,0,True
1995,7,1.9085744878526931,25.201616438356165,0,True
1996,11,2.432407043979815,25.368535339962378,0,True
1997,31,2.977784438503928,25.049207275993712,0,True
1998,58,2.4143374677499416,25.519792948573993,0,True
1999,110,2.855597327051587,26.001973051875144,0,True
2000,11,2.028319263496954,25.252588909791275,0,True
2001,20,1.5412046696472963,25.288396586570848,0,True
2002,0,0.0,24.737316415899393,0,True
2003,0,0.0,24.80422052548844,0,True
2004,0,0.0,24.631748185971517,0,True
2005,23,1.7324711952950942,24.767477206377723,0,True
2006,0,0.0,24.78197889063553,0,True
2007,7,1.5513945125309974,25.30840467100831,0,True
2008,43,2.7567578481803814,25.587748365134818,0,True
2009,8,2.3786155473294563,25.506871322703795,0,True
2010,97,3.0606037652912867,25.356949472265892,0,True
2011,62,3.7012821781881016,25.909098585223447,0,True
2012,58,2.8436700441560774,25.694971333870825,0,True
2013,101,3.469284697851066,25.96486368740175,0,True
2014,34,2.0602145890421966,25.461325847743094,0,True
2015,46,2.5124223354646347,25.493377049180328,0,True
2016,5,1.0775791548483298,25.078933082504705,0,True
2017,9,2.1262727753473385,25.241412530878062,0,True
2018,11,2.4578302485457435,24.855676622501683,0,True
2019,18,1.8914753136868327,24.901990568156304,0,True
2020,66,2.6315513677226967,25.790917316133655,0,True
2021,31,2.9275869859468138,25.562996182348975,0,True
2022,20,2.6766232392673537,25.653779923646983,0,True
2023,22,2.3623946444882513,25.17393128228161,0,True
2024,114,3.2456372572708325,25.770631998566696,0,True
2025,171,3.799225626419755,26.360009431843704,0,True
2026,0,0.0,26.673413076629817,193,False
