event,start,end,duration_days,mean_intensity_c,max_intensity_c,peak_date,severity_ratio,category
1,1982-03-18,1982-03-22,5,1.7441587423681597,2.042513965674729,1982-03-20,1.8639629632066923,I Moderate
2,1982-05-01,1982-05-11,11,1.3050116923283097,1.9589348909507507,1982-05-04,2.133483540993707,II Strong
3,1982-08-16,1982-08-22,7,1.1640723454229551,1.4296030479303887,1982-08-21,1.803777264859477,I Moderate
4,1982-11-22,1982-12-09,18,1.929046968005457,2.6248894444177395,1982-11-26,2.2243719890442564,II Strong
5,1983-01-13,1983-01-20,8,2.1884885687146673,2.4119965692683323,1983-01-18,1.5207884123153854,I Moderate
6,1983-09-19,1983-09-24,6,1.1817568973713868,1.2943754947678805,1983-09-21,1.6919822979535157,I Moderate
7,1984-01-06,1984-01-15,10,1.7130222050368071,1.8491510306471177,1984-01-10,1.173065849924996,I Moderate
8,1984-02-24,1984-03-02,8,1.794072055830647,2.081043122926779,1984-02-26,1.3410133029524134,I Moderate
9,1984-05-31,1984-07-18,49,1.2992931566934733,2.129275739948394,1984-06-16,2.5930248274549146,II Strong
10,1984-09-22,1984-10-23,32,1.1960064460042,1.8741667067288432,1984-10-21,1.9468003318263616,I Moderate
11,1985-02-15,1985-03-07,21,1.92003854057688,2.329151306828198,1985-02-19,1.544239274077263,I Moderate
12,1987-09-15,1987-09-23,9,1.144487375072779,1.5735654375590862,1987-09-19,2.088654260914967,II Strong
13,1988-02-05,1988-02-22,18,2.272448443539932,2.495529782222011,1988-02-12,1.4655339253099253,I Moderate
14,1988-03-18,1988-03-22,5,1.5358586029517844,1.7953166193933043,1988-03-20,1.6521350256218945,I Moderate
15,1988-04-01,1988-04-09,9,1.8108905252062313,2.1883609441853764,1988-04-07,1.9590666960526053,I Moderate
16,1988-04-14,1988-04-21,8,1.8438539753697762,2.1361167892569277,1988-04-19,2.0783923825804553,II Strong
17,1988-05-28,1988-06-04,8,1.2012977420957323,1.4642412063522592,1988-06-01,1.715416753628344,I Moderate
18,1988-06-18,1988-06-25,8,0.9932516425492377,1.083211928913677,1988-06-23,1.3746844683699961,I Moderate
19,1988-08-02,1988-08-06,5,1.2009544605227318,1.3943058506802544,1988-08-05,1.7508270456374098,I Moderate
20,1988-08-10,1988-09-01,23,1.0371573126710056,1.2715167860519507,1988-08-12,1.556127440184269,I Moderate
21,1988-09-08,1988-09-13,6,0.854442668354622,0.9465965258080544,1988-09-10,1.3241011828634142,I Moderate
22,1988-09-17,1988-09-23,7,1.161784348737813,1.4319583673861835,1988-09-19,1.8779511318050697,I Moderate
23,1988-10-23,1988-10-30,8,1.4196029217345347,1.8039714917552025,1988-10-25,1.8466664084655924,I Moderate
24,1989-02-05,1989-02-10,6,1.8181474261387034,1.9965539797766176,1989-02-08,1.1730625040727132,I Moderate
25,1989-04-10,1989-04-24,15,1.5234548168090238,1.9874394179767059,1989-04-17,1.8964949728705174,I Moderate
26,1991-08-14,1991-08-19,6,1.133816865107984,1.443395125234371,1991-08-17,1.7779771595783722,I Moderate
27,1994-05-04,1994-05-08,5,0.9706753585564755,1.135418809993105,1994-05-05,1.2540817569478313,I Moderate
28,1994-12-25,1995-01-01,8,1.8777852108948623,2.245492873186734,1994-12-31,1.5100192523099978,I Moderate
29,1995-03-24,1995-03-29,6,1.2539443643200883,1.4165451019982989,1995-03-25,1.3287652348345333,I Moderate
30,1996-07-08,1996-07-13,6,1.3279769348695833,1.6584866592952245,1996-07-12,2.014013544575747,II Strong
31,1996-12-24,1996-12-28,5,2.153297026833203,2.432407043979815,1996-12-26,1.6969815971911166,I Moderate
32,1997-01-02,1997-01-07,6,2.2224552895235603,2.419268701271932,1997-01-04,1.5709941003537335,I Moderate
33,1997-01-13,1997-02-06,25,2.4172834506212912,2.977784438503928,1997-01-17,1.8772249532393277,I Moderate
34,1998-05-05,1998-06-07,34,1.3555081274373104,2.4143374677499416,1998-06-03,2.824638807572761,II Strong
35,1998-06-29,1998-07-11,13,1.1467389104813728,1.4536866977549145,1998-07-05,1.7769352290122227,I Moderate
36,1998-11-18,1998-11-28,11,1.3842712864911813,1.5312777590820978,1998-11-23,1.2875265530560793,I Moderate
37,1999-03-05,1999-03-17,13,1.9399061263080277,2.4310079002611964,1999-03-12,2.0127269111243327,II Strong
38,1999-04-15,1999-05-11,27,1.265468401625989,1.7347832636251468,1999-04-16,1.7886667978463053,I Moderate
39,1999-06-24,1999-07-02,9,0.9393688373244148,1.1137037321923664,1999-06-24,1.4133810588163778,I Moderate
40,1999-07-14,1999-07-29,16,1.1917677074820143,1.3029144912904833,1999-07-19,1.5987912226812884,I Moderate
41,1999-08-02,1999-08-07,6,1.0761608202597113,1.2039563963271007,1999-08-05,1.5196411065228779,I Moderate
