file,n_rows,first,last,note
oisst_v2.1_ningaloo_1982.csv,22265,1982-01-01,1982-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1983.csv,22265,1983-01-01,1983-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1984.csv,22326,1984-01-01,1984-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1985.csv,22265,1985-01-01,1985-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1986.csv,22265,1986-01-01,1986-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1987.csv,22265,1987-01-01,1987-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1988.csv,22326,1988-01-01,1988-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1989.csv,22265,1989-01-01,1989-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1990.csv,22265,1990-01-01,1990-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1991.csv,22265,1991-01-01,1991-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1992.csv,22326,1992-01-01,1992-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1993.csv,22265,1993-01-01,1993-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1994.csv,22265,1994-01-01,1994-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1995.csv,22265,1995-01-01,1995-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1996.csv,22326,1996-01-01,1996-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1997.csv,22265,1997-01-01,1997-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1998.csv,22265,1998-01-01,1998-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_1999.csv,22265,1999-01-01,1999-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2000.csv,22326,2000-01-01,2000-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2001.csv,22265,2001-01-01,2001-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2002.csv,22265,2002-01-01,2002-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2003.csv,22265,2003-01-01,2003-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2004.csv,22326,2004-01-01,2004-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2005.csv,22265,2005-01-01,2005-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2006.csv,22265,2006-01-01,2006-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2007.csv,22265,2007-01-01,2007-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2008.csv,22326,2008-01-01,2008-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
oisst_v2.1_ningaloo_2009.csv,22265,2009-01-01,2009-12-31,"box -23.38..-21.38 N, 112.62..114.62 E"
