event,start,end,duration_days,mean_intensity_c,max_intensity_c,peak_date,severity_ratio,category,rank_by
58,2010-09-26,2011-01-26,123,2.2091958946579937,3.7012821781881016,2011-01-10,2.85815836433715,II Strong,duration
97,2024-11-13,2025-02-14,94,2.6110704751186,3.799225626419755,2025-01-02,2.4957086206295678,II Strong,duration
67,2012-12-27,2013-03-04,68,2.376875362966465,3.469284697851066,2013-02-03,2.0698363264027555,II Strong,duration
96,2024-09-13,2024-11-08,57,1.3776798551351703,1.9740352226655773,2024-11-02,2.1981675620850214,II Strong,duration
9,1984-05-31,1984-07-18,49,1.2992931566934731,2.129275739948394,1984-06-16,2.5930248274549146,II Strong,duration
74,2015-09-17,2015-11-01,46,1.7830751489790415,2.5124223354646347,2015-10-11,2.842363281021565,II Strong,duration
100,2025-05-01,2025-06-12,43,1.4306488880044137,2.165388378763847,2025-05-12,2.5242116383262023,II Strong,duration
98,2025-02-24,2025-04-06,42,1.901105912948323,2.902366568914953,2025-03-03,2.2216585033591203,II Strong,duration
34,1998-05-05,1998-06-07,34,1.3555081274373104,2.4143374677499416,1998-06-03,2.824638807572761,II Strong,duration
10,1984-09-22,1984-10-23,32,1.1960064460042,1.8741667067288432,1984-10-21,1.9468003318263616,I Moderate,duration
97,2024-11-13,2025-02-14,94,2.6110704751186,3.799225626419755,2025-01-02,2.4957086206295678,II Strong,intensity
58,2010-09-26,2011-01-26,123,2.2091958946579937,3.7012821781881016,2011-01-10,2.85815836433715,II Strong,intensity
67,2012-12-27,2013-03-04,68,2.376875362966465,3.469284697851066,2013-02-03,2.0698363264027555,II Strong,intensity
33,1997-01-13,1997-02-06,25,2.4172834506212912,2.977784438503928,1997-01-17,1.877224953239328,I Moderate,intensity
88,2020-12-29,2021-01-26,29,2.2602168923036987,2.9275869859468138,2021-01-19,1.8536389640417203,I Moderate,intensity
98,2025-02-24,2025-04-06,42,1.901105912948323,2.902366568914953,2025-03-03,2.2216585033591203,II Strong,intensity
59,2011-02-06,2011-02-23,18,2.390716600163456,2.8961679726936254,2011-02-13,1.7012068101598925,I Moderate,intensity
43,1999-11-08,1999-11-17,10,1.7937675496370358,2.855597327051587,1999-11-12,2.583070982476861,II Strong,intensity
56,2008-10-19,2008-10-27,9,1.725817168690254,2.7567578481803814,2008-10-23,2.858114209393116,II Strong,intensity
90,2022-02-14,2022-02-23,10,2.2791280691633427,2.6766232392673537,2022-02-17,1.568728685001228,I Moderate,intensity
