series,n,sen_slope_per_decade,ols_slope_per_decade,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_r1,mk_trend
AprOct_pct_full_1950_2024,75,-2.6613313731782835,-2.8826064336723354,0.0005002187102870244,-0.2547747747747748,0.0012402841214438438,0.0012402841214438438,-0.0942575738149431,decreasing
AprOct_mm_full_1950_2024,75,-18.47121535181235,-19.895523267628526,5.1784748063018496e-05,-0.30954954954954955,8.682245650581396e-05,8.682245650581396e-05,-0.10187155341356102,decreasing
AprOct_pct_pre_2000,50,-0.6758389643598995,-1.0209254550578248,0.4852361363893327,-0.036734693877551024,0.7128331621907342,0.7128331621907342,-0.038842238729175346,no trend
AprOct_pct_post_2000,25,-2.4013357023157806,-0.08463779159716417,0.9834015977081787,-0.06666666666666667,0.6572273920607943,0.6572273920607943,-0.28823207750810476,no trend
MayJul_pct_full_1950_2024,75,-3.9871080134398347,-4.351048392201957,2.256080739438293e-05,-0.3016216216216216,0.00013124618993167603,0.00013124618993167603,-0.008017578658933154,decreasing
station_Albany_mm,68,-14.453133985048826,-15.281171465210601,0.021687340222870704,-0.18086040386303776,0.02958607929486602,0.02958607929486602,-0.1499168921206674,decreasing
station_Cape Leeuwin_mm,73,-40.41648351648349,-41.829185027723035,1.8072186541532843e-06,-0.3603500761035008,6.630370016006222e-06,6.630370016006222e-06,0.09275807911438419,decreasing
station_Deeside_mm,73,-10.52380952380954,-14.606056838365898,0.012561874120933543,-0.16971080669710806,0.034070202181316164,0.034070202181316164,-0.0056760182138165015,decreasing
station_Narrogin_mm,71,-11.300000000000011,-12.716438068496462,0.004383057151221852,-0.21207243460764588,0.009031239702930505,0.009031239702930505,-0.07700225264658635,decreasing
station_Northam_mm,71,-11.75862068965517,-12.58340451921287,0.004112065219092171,-0.21006036217303822,0.009707354375459054,0.009707354375459054,-0.023842422680407083,decreasing
station_Wagin_mm,74,-8.91304347826087,-8.465932049542731,0.028972856792900625,-0.16882636060718254,0.033721346054467805,0.033721346054467805,-0.08952853601922678,decreasing
station_Westbourne_mm,72,-9.05024509803919,-8.88291280072101,0.09676410818551373,-0.1334115805946792,0.09836271049077394,0.09836271049077394,-0.18538060375398593,no trend
