year,msl_mm,n_months,complete,anom_mm
1897,6568.583333333333,12,True,-186.91250000000127
1898,6640.818181818182,11,True,-114.67765151515232
1899,6635.333333333333,9,False,-120.16250000000127
1900,6611.444444444444,9,False,-144.05138888888996
1901,6616.333333333333,12,True,-139.16250000000127
1902,,0,False,
1903,6610.083333333333,12,True,-145.41250000000127
1904,6648.916666666667,12,True,-106.57916666666733
1905,6612.083333333333,12,True,-143.41250000000127
1906,6650.0,12,True,-105.4958333333343
1907,,0,False,
1908,6551.083333333333,12,True,-204.41250000000127
1909,6637.5,12,True,-117.9958333333343
1910,,0,False,
1911,,0,False,
1912,6645.333333333333,6,False,-110.16250000000127
1913,6801.0,3,False,45.5041666666657
1914,6489.222222222223,9,False,-266.2736111111117
1915,6578.75,12,True,-176.7458333333343
1916,6611.166666666667,12,True,-144.32916666666733
1917,6697.181818181818,11,True,-58.31401515151629
1918,6633.583333333333,12,True,-121.91250000000127
1919,6522.333333333333,12,True,-233.16250000000127
1920,6594.166666666667,12,True,-161.32916666666733
1921,6675.333333333333,12,True,-80.16250000000127
1922,6617.5,12,True,-137.9958333333343
1923,6641.583333333333,12,True,-113.91250000000127
1924,6674.75,12,True,-80.7458333333343
1925,6639.727272727273,11,True,-115.76856060606133
1926,,0,False,
1927,6697.25,12,True,-58.2458333333343
1928,6682.333333333333,12,True,-73.16250000000127
1929,6662.333333333333,12,True,-93.16250000000127
1930,6624.833333333333,12,True,-130.66250000000127
1931,6636.083333333333,12,True,-119.41250000000127
1932,6657.416666666667,12,True,-98.07916666666733
1933,6708.25,12,True,-47.2458333333343
1934,6748.083333333333,12,True,-7.412500000001273
1935,6670.666666666667,12,True,-84.82916666666733
1936,6672.0,12,True,-83.4958333333343
1937,6645.833333333333,12,True,-109.66250000000127
1938,6668.833333333333,12,True,-86.66250000000127
1939,6734.833333333333,12,True,-20.662500000001273
1940,6595.5,12,True,-159.9958333333343
1941,6630.25,12,True,-125.2458333333343
1942,6561.333333333333,3,False,-194.16250000000127
1943,6671.090909090909,11,True,-84.4049242424253
1944,6668.916666666667,12,True,-86.57916666666733
1945,6745.166666666667,12,True,-10.329166666667334
1946,6691.916666666667,12,True,-63.579166666667334
1947,6682.916666666667,12,True,-72.57916666666733
1948,6709.416666666667,12,True,-46.079166666667334
1949,6752.416666666667,12,True,-3.0791666666673336
1950,6755.181818181818,11,True,-0.314015151516287
1951,6677.636363636364,11,True,-77.85946969697034
1952,6680.916666666667,12,True,-74.57916666666733
1953,6683.363636363636,11,True,-72.13219696969827
1954,6684.833333333333,12,True,-70.66250000000127
1955,6797.166666666667,12,True,41.670833333332666
1956,6744.0,12,True,-11.495833333334303
1957,6703.363636363636,11,True,-52.13219696969827
1958,6684.75,12,True,-70.7458333333343
1959,6700.272727272727,11,True,-55.22310606060728
1960,6672.416666666667,12,True,-83.07916666666733
1961,6669.916666666667,12,True,-85.57916666666733
