year,month,msl_mm
1897,1,6542.0
1897,2,6524.0
1897,3,6557.0
1897,4,6655.0
1897,5,6648.0
1897,6,6729.0
1897,7,6641.0
1897,8,6518.0
1897,9,6547.0
1897,10,6465.0
1897,11,6499.0
1897,12,6498.0
1898,1,6527.0
1898,2,6664.0
1898,3,
1898,4,6620.0
1898,5,6827.0
1898,6,6781.0
1898,7,6736.0
1898,8,6622.0
1898,9,6569.0
1898,10,6628.0
1898,11,6534.0
1898,12,6541.0
1899,1,6585.0
1899,2,6646.0
1899,3,6704.0
1899,4,6732.0
1899,5,6638.0
1899,6,6705.0
1899,7,6695.0
1899,8,6599.0
1899,9,6414.0
1899,10,
1899,11,
1899,12,
1900,1,6519.0
1900,2,6538.0
1900,3,6526.0
1900,4,6686.0
1900,5,
1900,6,6803.0
1900,7,6714.0
1900,8,
1900,9,6560.0
1900,10,6611.0
1900,11,6546.0
1900,12,
1901,1,6478.0
1901,2,6516.0
1901,3,6607.0
1901,4,6677.0
1901,5,6745.0
1901,6,6777.0
1901,7,6714.0
1901,8,6639.0
1901,9,6558.0
1901,10,6528.0
1901,11,6558.0
1901,12,6599.0
1902,1,
1902,2,
1902,3,
1902,4,
1902,5,
1902,6,
1902,7,
1902,8,
1902,9,
1902,10,
1902,11,
1902,12,
1903,1,6515.0
1903,2,6558.0
1903,3,6457.0
1903,4,6567.0
1903,5,6617.0
1903,6,6672.0
1903,7,6631.0
1903,8,6663.0
1903,9,6697.0
1903,10,6640.0
1903,11,6614.0
1903,12,6690.0
1904,1,6656.0
1904,2,6677.0
1904,3,6469.0
1904,4,6726.0
1904,5,6752.0
1904,6,6801.0
1904,7,6736.0
1904,8,6697.0
1904,9,6563.0
1904,10,6578.0
1904,11,6500.0
1904,12,6632.0
1905,1,6537.0
1905,2,6552.0
1905,3,6604.0
1905,4,6657.0
1905,5,6813.0
1905,6,6710.0
1905,7,6700.0
1905,8,6582.0
1905,9,6614.0
1905,10,6484.0
1905,11,6539.0
1905,12,6553.0
1906,1,6591.0
1906,2,6577.0
1906,3,6608.0
1906,4,6709.0
1906,5,6793.0
1906,6,6781.0
1906,7,6724.0
1906,8,6656.0
1906,9,6681.0
1906,10,6623.0
1906,11,6512.0
1906,12,6545.0
1907,1,
1907,2,
1907,3,
1907,4,
1907,5,
1907,6,
1907,7,
1907,8,
1907,9,
1907,10,
1907,11,
1907,12,
1908,1,6491.0
1908,2,6532.0
1908,3,6492.0
1908,4,6555.0
1908,5,6703.0
1908,6,6694.0
1908,7,6596.0
1908,8,6488.0
1908,9,6473.0
1908,10,6506.0
1908,11,6529.0
1908,12,6554.0
1909,1,6587.0
1909,2,6616.0
