window_start,window_end,rate_mm_per_yr,p
1914,1943,2.2675552211761714,0.04074452997550643
1915,1944,2.1427667551293506,0.03703195315361771
1916,1945,2.2457176566814723,0.030664655295896234
1917,1946,2.126163836050908,0.03882778043825778
1918,1947,2.5324312691693853,0.011282173528412535
1919,1948,2.6666904163238403,0.007931751302751582
1920,1949,2.243036753743647,0.012005077249918616
1921,1950,2.2477018500350434,0.012027340963305874
1922,1951,2.2465226873198723,0.012274020646806771
1923,1952,1.835855871506191,0.037186964401051646
1924,1953,1.588378625497385,0.07076099583611228
1925,1954,1.5829631771645727,0.07327433358186677
1926,1955,2.0766056829583386,0.034354602509318585
1927,1956,2.243253542018323,0.015970350167479955
1928,1957,2.3935074234752096,0.009627966182500723
1929,1958,2.320087102013849,0.012472388423845874
1930,1959,2.2081927522649205,0.01748012302534358
1931,1960,1.638333964549058,0.07403905374703385
1932,1961,1.106439804581359,0.2238027255609375
1933,1962,1.2896524369256617,0.1669988523611502
1934,1963,1.984700193928015,0.04448489626532472
1935,1964,2.725270383787469,0.004705084811329406
1936,1965,2.8093313096041137,0.006544869012540324
1937,1966,2.5911234112341073,0.012190433291149839
1938,1967,2.428254047479712,0.027044036301423748
1939,1968,2.1969232458362815,0.042953631132844144
1940,1969,1.949037704026709,0.07837016865694818
1941,1970,1.2315590713363174,0.21855877919340694
1942,1971,0.8757191657676978,0.3551921425574829
1943,1972,0.5311246788595119,0.5509232409153473
1944,1973,0.40299264005963586,0.6439445887535282
1945,1974,0.6540509505134259,0.4699035606675923
1946,1975,1.439672854918753,0.12932203605510384
1947,1976,1.3381194320473144,0.15529027372627324
1948,1977,0.801554749932573,0.39908234611894355
1949,1978,0.873606220123762,0.3578661713837161
1950,1979,0.8715188271564702,0.35788106039918877
1951,1980,0.9237789048794625,0.3263072369331038
1952,1981,0.666480463490438,0.4733442050685608
1953,1982,0.0884358817940826,0.9252185988537316
1954,1983,-0.09781198923424891,0.9164171417773661
1955,1984,-0.06695460860719019,0.9431694195855226
1956,1985,0.5406009936370549,0.5428340249102832
1957,1986,0.5252172885937015,0.5573329685571963
1958,1987,-0.01695508759347629,0.9856312756730876
1959,1988,0.11157215782084114,0.9081326296379681
1960,1989,0.33453196444535876,0.7378407409930956
1961,1990,-0.2457549441050665,0.8038366268953325
1962,1991,-0.836806851644471,0.3864078571371038
1963,1992,-0.7732409278169073,0.4272716046669244
1964,1993,-0.7822358050306205,0.43269770091777715
1965,1994,-0.7156632459872814,0.47770185607083215
1966,1995,-0.45369703567241804,0.6323996092927187
1967,1996,0.15201149425287028,0.8850616388471392
1968,1997,0.019540229885054446,0.9841552089681022
1969,1998,0.13053392658509194,0.8948004513549543
1970,1999,0.625936225435669,0.5736413094881736
1971,2000,1.398924731182798,0.24418827729791226
1972,2001,1.7711160548757865,0.14156239162846884
1973,2002,1.2477938450129742,0.29756708702863766
1974,2003,1.2647571375602495,0.29096777005581653
1975,2004,1.7092139414163843,0.14189280207081123
1976,2005,2.363959955506112,0.03307057806917295
1977,2006,2.5056915090841616,0.023457983085532964
1978,2007,2.430033370411565,0.02733236603561165
1979,2008,3.2698924731182757,0.004849194411139675
1980,2009,3.358398220244713,0.003986713479559765
1981,2010,3.33563218390804,0.004201826125204158
1982,2011,4.304764553207259,0.0009268176745987174
1983,2012,4.639377085650715,0.0005643245152951621
1984,2013,5.275806451612898,0.00014844290486204072
1985,2014,5.624267704857247,4.478003558034343e-05
1986,2015,5.485502410085283,7.457425969657732e-05
1987,2016,5.054523544679273,0.0002625610474689531
1988,2017,4.621449758991474,0.0006050582837020294
1989,2018,4.776232851316282,0.0003666378342041025
1990,2019,4.746088246199484,0.00040880488749942516
1991,2020,4.577053628610918,0.0005948339465929752
1992,2021,4.887132167054301,0.0003617757834552253
1993,2022,5.110781339535511,0.00025828250355224323
