year,fuel,energy_MWh,total_MWh,share_pct
2006,bio,12374.764,4345049.36,0.2848014596547644
2006,coal,1945934.705,4345049.36,44.785100093776606
2006,distillate,1840.9189999999999,4345049.36,0.04236819532931611
2006,gas,2189241.282,4345049.36,50.38472755117332
2006,other,269.35699999999997,4345049.36,0.006199170082615585
2006,wind,195388.333,4345049.36,4.4968035299833735
2007,bio,90470.978,16001566.086,0.5653882720839079
2007,coal,6908920.22,16001566.086,43.17652524051827
2007,distillate,5329.804,16001566.086,0.03330801479902097
2007,gas,8325207.763,16001566.086,52.027456051841355
2007,other,1030.566,16001566.086,0.006440407110536868
2007,wind,670606.755,16001566.086,4.190882013646924
2008,bio,63284.999,16524877.207,0.3829680439210298
2008,coal,7020473.207,16524877.207,42.48426853075859
2008,distillate,11351.654,16524877.207,0.06869433193241156
2008,gas,8790181.617,16524877.207,53.19362744357608
2008,other,1075.18,16524877.207,0.006506432613880784
2008,wind,638510.55,16524877.207,3.863935217198011
2009,bio,44562.684,16822024.598,0.2649067818227904
2009,coal,7524878.094,16822024.598,44.73229753150311
2009,distillate,1936.335,16822024.598,0.011510713164872045
2009,gas,8610510.012,16822024.598,51.185931644777874
2009,other,7.466,16822024.598,4.4382291539911586e-05
2009,wind,640130.007,16822024.598,3.8053089464398124
2010,bio,45467.236000000004,17528477.191,0.2593906789766379
2010,coal,8359115.52,17528477.191,47.68877198466499
2010,distillate,292.838,17528477.191,0.0016706414185845976
2010,gas,8470335.986,17528477.191,48.32328498193269
2010,other,42.583999999999996,17528477.191,0.0002429418114076947
2010,wind,653223.027,17528477.191,3.7266387711956948
2011,bio,41034.369999999995,17749859.715,0.23118137641010644
2011,coal,8528734.855,17749859.715,48.04959020488799
2011,distillate,5696.390999999999,17749859.715,0.03209259730197253
2011,gas,8243311.794,17749859.715,46.441560250945344
2011,other,16.753,17749859.715,9.438384454296516e-05
2011,wind,931065.5519999999,17749859.715,5.245481186610043
2012,bio,107636.001,18000903.953,0.597947754629631
2012,coal,8550719.602,18000903.953,47.50161227639322
2012,distillate,1021.2929999999999,18000903.953,0.00567356507576828
2012,gas,8028949.574,18000903.953,44.603035464015726
2012,other,553.865,18000903.953,0.0030768732583993023
2012,solar,9250.601999999999,18000903.953,0.05138965256496638
2012,wind,1302773.016,18000903.953,7.237264414062284
2013,bio,132935.448,18166039.483000003,0.7317800235125691
2013,coal,9059229.522,18166039.483000003,49.86904014206143
2013,distillate,3593.3759999999997,18166039.483000003,0.01978073428367655
2013,gas,7523407.399,18166039.483000003,41.41468153276059
2013,other,0.0,18166039.483000003,0.0
2013,solar,22668.531000000003,18166039.483000003,0.12478521265581022
2013,wind,1424205.207,18166039.483000003,7.839932354725906
2014,bio,124429.652,18477085.157,0.673426847052551
2014,coal,8840748.817,18477085.157,47.84709677895651
2014,distillate,2827.08,18477085.157,0.015300465284314432
2014,gas,7925533.855,18477085.157,42.893853590307394
2014,other,0.0,18477085.157,0.0
2014,solar,22044.613,18477085.157,0.11930784976464998
2014,wind,1561501.14,18477085.157,8.451014468634567
2015,bio,120099.304,18431873.618,0.6515848930448108
2015,coal,8860959.456,18431873.618,48.07411139878184
2015,distillate,2133.014,18431873.618,0.011572420928043715
2015,gas,7868926.631,18431873.618,42.69195196366499
2015,other,0.0,18431873.618,0.0
2015,solar,21716.356,18431873.618,0.11781957955046131
2015,wind,1558038.857,18431873.618,8.45295974402986
2016,bio,128461.787,18711050.749,0.6865557082990945
2016,coal,9427712.78,18711050.749,50.38580091769489
2016,distillate,726.78,18711050.749,0.0038842286825545714
2016,gas,7609800.409,18711050.749,40.670085881770696
2016,solar,21725.392,18711050.749,0.11610995176826774
2016,wind,1522623.601,18711050.749,8.137563311784483
2017,bio,129741.64199999999,18062917.31,0.7182762328661737
2017,coal,8891274.416,18062917.31,49.22391141699801
2017,distillate,886.767,18062917.31,0.004909323254826992
