month,fuel,energy_MWh,year
2006-09,bio,458.034,2006
2006-09,coal,210575.362,2006
2006-09,distillate,397.141,2006
2006-09,gas,229402.407,2006
2006-09,other,0.0,2006
2006-09,wind,16681.566,2006
2006-10,bio,1117.8,2006
2006-10,coal,541145.088,2006
2006-10,distillate,247.46,2006
2006-10,gas,635729.071,2006
2006-10,other,44.194,2006
2006-10,wind,57249.876000000004,2006
2006-11,bio,3013.0339999999997,2006
2006-11,coal,562397.082,2006
2006-11,distillate,945.477,2006
2006-11,gas,659327.5650000001,2006
2006-11,other,48.808,2006
2006-11,wind,53082.818,2006
2006-12,bio,7785.896000000001,2006
2006-12,coal,631817.173,2006
2006-12,distillate,250.841,2006
2006-12,gas,664782.2390000001,2006
2006-12,other,176.355,2006
2006-12,wind,68374.073,2006
2007-01,bio,7646.841,2007
2007-01,coal,679126.939,2007
2007-01,distillate,236.749,2007
2007-01,gas,637944.644,2007
2007-01,other,81.028,2007
2007-01,wind,61981.705,2007
2007-02,bio,6847.302,2007
2007-02,coal,639702.382,2007
2007-02,distillate,25.028,2007
2007-02,gas,632219.333,2007
2007-02,other,6.843,2007
2007-02,wind,48160.469,2007
2007-03,bio,7646.192999999999,2007
2007-03,coal,640553.938,2007
2007-03,distillate,143.556,2007
2007-03,gas,700719.661,2007
2007-03,other,60.788999999999994,2007
2007-03,wind,74373.662,2007
2007-04,bio,7597.54,2007
2007-04,coal,557504.1460000001,2007
2007-04,distillate,0.494,2007
2007-04,gas,615947.127,2007
2007-04,other,17.089000000000002,2007
2007-04,wind,48008.526,2007
2007-05,bio,7828.809,2007
2007-05,coal,575418.506,2007
2007-05,distillate,36.629999999999995,2007
2007-05,gas,696468.093,2007
2007-05,other,13.243,2007
2007-05,wind,45184.096,2007
2007-06,bio,6865.4580000000005,2007
2007-06,coal,523109.931,2007
2007-06,distillate,1261.199,2007
2007-06,gas,735288.081,2007
2007-06,other,41.949,2007
2007-06,wind,63783.786,2007
2007-07,bio,7583.267,2007
2007-07,coal,605264.6529999999,2007
2007-07,distillate,83.227,2007
2007-07,gas,700355.084,2007
2007-07,other,50.426,2007
2007-07,wind,58318.323000000004,2007
2007-08,bio,7836.603999999999,2007
2007-08,coal,663462.216,2007
2007-08,distillate,0.0,2007
2007-08,gas,677297.314,2007
2007-08,other,296.687,2007
2007-08,wind,41627.87700000001,2007
2007-09,bio,7769.3369999999995,2007
2007-09,coal,561448.435,2007
2007-09,distillate,4.86,2007
2007-09,gas,673942.3809999999,2007
2007-09,other,178.2,2007
2007-09,wind,39746.615,2007
2007-10,bio,7740.496000000001,2007
2007-10,coal,507664.11100000003,2007
2007-10,distillate,227.471,2007
2007-10,gas,689266.518,2007
2007-10,other,66.238,2007
2007-10,wind,59556.156,2007
2007-11,bio,7201.139999999999,2007
2007-11,coal,428909.703,2007
2007-11,distillate,1621.868,2007
2007-11,gas,825803.027,2007
2007-11,other,38.883,2007
2007-11,wind,58236.043000000005,2007
2007-12,bio,7907.991,2007
2007-12,coal,526755.26,2007
2007-12,distillate,1688.7220000000002,2007
2007-12,gas,739956.5,2007
2007-12,other,179.191,2007
2007-12,wind,71629.497,2007
2008-01,bio,7751.467000000001,2008
2008-01,coal,643756.459,2008
2008-01,distillate,3102.8860000000004,2008
2008-01,gas,825287.147,2008
2008-01,other,9.449,2008
2008-01,wind,68957.416,2008
2008-02,bio,6973.514,2008
2008-02,coal,594207.096,2008
2008-02,distillate,2479.111,2008
2008-02,gas,841995.979,2008
2008-02,other,2.895,2008
2008-02,wind,67236.81,2008
2008-03,bio,6643.052,2008
2008-03,coal,628157.742,2008
2008-03,distillate,0.0,2008
2008-03,gas,731669.51,2008
2008-03,other,117.212,2008
2008-03,wind,67468.154,2008
2008-04,bio,6496.763000000001,2008
2008-04,coal,500325.20399999997,2008
2008-04,distillate,0.0,2008
2008-04,gas,726417.172,2008
2008-04,other,60.776,2008
2008-04,wind,42933.281,2008
2008-05,bio,6480.508,2008
2008-05,coal,515302.53599999996,2008
2008-05,distillate,34.811,2008
2008-05,gas,767005.201,2008
2008-05,other,810.4920000000001,2008
2008-05,wind,32373.29,2008
2008-06,bio,4849.765,2008
2008-06,coal,406043.83400000003,2008
2008-06,distillate,3640.35,2008
2008-06,gas,821114.962,2008
2008-06,other,0.493,2008
2008-06,wind,54980.111000000004,2008
2008-07,bio,4350.927,2008
2008-07,coal,598460.308,2008
2008-07,distillate,2071.076,2008
2008-07,gas,784536.205,2008
2008-07,other,42.27,2008
2008-07,wind,45501.42600000001,2008
2008-08,bio,4301.259,2008
2008-08,coal,673737.064,2008
2008-08,distillate,0.0,2008
2008-08,gas,682637.871,2008
2008-08,other,13.127,2008
2008-08,wind,56526.705,2008
2008-09,bio,3888.7280000000005,2008
2008-09,coal,627166.249,2008
2008-09,distillate,11.841,2008
2008-09,gas,633822.677,2008
2008-09,other,0.78,2008
2008-09,wind,43581.966,2008
2008-10,bio,3881.9680000000003,2008
2008-10,coal,553283.103,2008
2008-10,distillate,0.0,2008
2008-10,gas,722386.174,2008
2008-10,other,14.522,2008
2008-10,wind,55596.67600000001,2008
2008-11,bio,3836.002,2008
2008-11,coal,584610.914,2008
2008-11,distillate,0.0,2008
2008-11,gas,627594.279,2008
2008-11,other,0.0,2008
2008-11,wind,49394.373,2008
2008-12,bio,3831.046,2008
2008-12,coal,695422.698,2008
2008-12,distillate,11.579,2008
2008-12,gas,625714.4400000001,2008
2008-12,other,3.1639999999999997,2008
2008-12,wind,53960.342000000004,2008
2009-01,bio,3798.2529999999997,2009
2009-01,coal,663463.784,2009
2009-01,distillate,173.062,2009
2009-01,gas,853286.8840000001,2009
2009-01,other,7.015000000000001,2009
2009-01,wind,57418.191000000006,2009
2009-02,bio,3400.004,2009
2009-02,coal,636805.224,2009
2009-02,distillate,230.982,2009
2009-02,gas,721168.461,2009
2009-02,other,0.136,2009
2009-02,wind,62089.418,2009
2009-03,bio,3935.95,2009
2009-03,coal,668249.592,2009
2009-03,distillate,45.555,2009
2009-03,gas,684401.321,2009
2009-03,other,0.0,2009
2009-03,wind,59626.474,2009
2009-04,bio,3754.439,2009
2009-04,coal,513648.368,2009
2009-04,distillate,472.153,2009
2009-04,gas,724633.378,2009
2009-04,other,0.0,2009
2009-04,wind,53045.587,2009
2009-05,bio,3685.834,2009
2009-05,coal,588906.795,2009
2009-05,distillate,25.415,2009
2009-05,gas,674841.199,2009
2009-05,other,0.06999999999999999,2009
2009-05,wind,55204.108,2009
2009-06,bio,3396.7830000000004,2009
2009-06,coal,680677.521,2009
2009-06,distillate,0.0,2009
2009-06,gas,658507.568,2009
2009-06,other,0.001,2009
2009-06,wind,44693.307,2009
2009-07,bio,3725.125,2009
2009-07,coal,661144.172,2009
2009-07,distillate,0.0,2009
2009-07,gas,734445.377,2009
2009-07,other,0.183,2009
2009-07,wind,49277.886,2009
2009-08,bio,4064.648,2009
2009-08,coal,557456.791,2009
2009-08,distillate,156.161,2009
2009-08,gas,807956.169,2009
2009-08,other,0.041,2009
2009-08,wind,37838.938,2009
2009-09,bio,3829.446,2009
2009-09,coal,559177.8489999999,2009
2009-09,distillate,34.039,2009
2009-09,gas,753189.562,2009
2009-09,other,0.0,2009
2009-09,wind,44525.008,2009
2009-10,bio,3779.841,2009
2009-10,coal,576131.449,2009
2009-10,distillate,11.719000000000001,2009
2009-10,gas,703248.621,2009
2009-10,other,0.0,2009
2009-10,wind,52195.8,2009
2009-11,bio,3471.8,2009
2009-11,coal,669497.501,2009
2009-11,distillate,761.3449999999999,2009
2009-11,gas,616679.988,2009
2009-11,other,0.02,2009
2009-11,wind,54448.28200000001,2009
2009-12,bio,3720.561,2009
2009-12,coal,749719.048,2009
2009-12,distillate,25.904000000000003,2009
2009-12,gas,678151.484,2009
2009-12,other,0.0,2009
2009-12,wind,69767.008,2009
2010-01,bio,3724.5870000000004,2010
2010-01,coal,814587.011,2010
2010-01,distillate,0.0,2010
2010-01,gas,766726.592,2010
2010-01,other,0.0,2010
2010-01,wind,66512.804,2010
2010-02,bio,3322.293,2010
2010-02,coal,728294.73,2010
2010-02,distillate,26.884,2010
2010-02,gas,700238.638,2010
2010-02,other,0.0,2010
2010-02,wind,55123.023,2010
2010-03,bio,3619.172,2010
2010-03,coal,720440.659,2010
2010-03,distillate,0.0,2010
2010-03,gas,765028.746,2010
2010-03,other,2.996,2010
2010-03,wind,63558.372,2010
2010-04,bio,3683.888,2010
2010-04,coal,584943.844,2010
2010-04,distillate,9.692,2010
2010-04,gas,677039.09,2010
2010-04,other,17.099,2010
2010-04,wind,43797.258,2010
2010-05,bio,3723.785,2010
2010-05,coal,718095.1089999999,2010
2010-05,distillate,0.0,2010
2010-05,gas,634518.745,2010
2010-05,other,7.092,2010
2010-05,wind,44693.367,2010
2010-06,bio,3380.2929999999997,2010
2010-06,coal,731465.603,2010
2010-06,distillate,0.0,2010
2010-06,gas,671619.403,2010
2010-06,other,0.008,2010
