parent,facilities,covered_t,baseline_t,smcs_issued,units_surrendered,headroom_t
Chevron,2,13042523.0,12568464.0,4355.0,478414.0,-474059.0
Other,42,8761631.0,8663599.0,646059.0,797027.0,-98032.0
Woodside,5,8178102.0,7066310.0,0.0,871852.0,-1111792.0
South32,1,3218588.0,3087049.0,0.0,63499.0,-131539.0
Alcoa,3,2714937.0,2751589.0,166169.0,0.0,36652.0
BHP,9,2423960.0,2546584.0,0.0,223847.0,122624.0
Rio Tinto,10,2376184.0,1753152.0,0.0,647602.0,-623032.0
Shell,1,2253798.0,3675438.0,1421640.0,0.0,1421640.0
Fortescue,5,1790678.0,1589509.0,38364.0,74456.0,-201169.0
Yara,1,1637599.0,1680100.0,42501.0,0.0,42501.0
CITIC,1,836882.0,792477.0,0.0,44405.0,-44405.0
