facility,emitter,parent,sector,covered_t,baseline_t,smcs_issued,accus_surrendered,smcs_surrendered,share_pct,cum_share_pct
Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,Chevron,LNG / oil and gas,9021856.0,8543442.0,,478414.0,,19.099986319432322,19.099986319432322
North West Shelf Project,Woodside Energy Ltd.,Woodside,LNG / oil and gas,5750304.0,4829212.0,,681895.0,239200.0,12.173850672475481,31.273836991907803
Wheatstone Operations,CHEVRON AUSTRALIA PTY LTD,Chevron,LNG / oil and gas,4020667.0,4025022.0,4355.0,,,8.512071650777068,39.78590864268487
WOR01,South32 Worsley Alumina Pty Ltd,South32,Alumina and metals,3218588.0,3087049.0,,63499.0,68040.0,6.814006648730487,46.59991529141536
FLNG,SHELL AUSTRALIA PTY LTD,Shell,LNG / oil and gas,2253798.0,3675438.0,1421640.0,,,4.7714695254240285,51.37138481683939
Pluto LNG,Woodside Burrup Pty. Ltd.,Woodside,LNG / oil and gas,1888110.0,1743127.0,,144983.0,,3.9972789600702296,55.36866377690962
YPF AMMONIA PLANT,Yara Pilbara Fertilisers Pty Ltd,Yara,Other manufacturing,1637599.0,1680100.0,42501.0,,,3.4669272593927514,58.835591036302375
Wagerup Alumina Refinery,Alcoa of Australia Limited,Alcoa,Alumina and metals,1306994.0,1217338.0,,,89656.0,2.7670101938647798,61.60260123016715
Pinjarra Alumina Refinery,Alcoa of Australia Limited,Alcoa,Alumina and metals,1268082.0,1434251.0,166169.0,,,2.684630396663212,64.28723162683036
Sino Iron Project – Cape Preston,CITIC Pacific Mining Management Pty Ltd,CITIC,Metal ore mining,836882.0,792477.0,,44405.0,,1.771745719614585,66.05897734644495
Pilbara Rail Operations,PILBARA IRON PTY LTD,Rio Tinto,Transport,651125.0,569672.0,,81453.0,,1.3784833843768256,67.43746073082177
CSBP Kwinana Facility,CSBP Limited,Other,Other manufacturing,641327.0,692197.0,50870.0,,,1.3577402395119775,68.79520097033375
ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,BHP,Metal ore mining,587292.0,757811.0,,,,1.2433438491494484,70.0385448194832
PRL03 Rail - IOR Facility,BHP IRON ORE PTY LTD,BHP,Transport,552076.0,503836.0,,48240.0,,1.1687887777511543,71.20733359723437
Cockburn Operations,ADBRI LIMITED,Other,Other manufacturing,524450.0,503740.0,,,20710.0,1.1103023396988692,72.31763593693324
Murrin Murrin Operations,MURRIN MURRIN OPERATIONS PTY LTD,Other,Metal ore mining,508542.0,465620.0,,,42922.0,1.0766238391365093,73.39425977606976
Roy Hill Mine,Roy Hill Holdings Pty Ltd,Other,Metal ore mining,480607.0,393393.0,,87214.0,,1.0174832235211257,74.41174299959089
Solomon Mine,FMG SOLOMON PTY LTD,Fortescue,Metal ore mining,470534.0,357442.0,,42881.0,70211.0,0.9961578817959151,75.4079008813868
Solomon Power Station,FMG SOLOMON PTY LTD,Fortescue,Electricity,436601.0,474965.0,38364.0,,,0.9243190233861492,76.33221990477294
Newman Power Station,APA TRANSMISSION (ROY HILL) PTY LTD,Other,Electricity,381037.0,496339.0,52214.0,,,0.8066856184800039,77.13890552325294
Christmas Creek Mine,CHICHESTER METALS PTY LTD,Fortescue,Metal ore mining,372827.0,352267.0,,,,0.7893043958488136,77.92820991910176
Yarnima Power Station,BHP IRON ORE PTY LTD,BHP,Electricity,364582.0,324820.0,,39762.0,,0.7718490754353954,78.70005899453716
Newman Operations,BHP IRON ORE PTY LTD,BHP,Metal ore mining,347444.0,282096.0,,65348.0,,0.7355665670975954,79.43562556163475
Jimblebar Mine,BHP IRON ORE PTY LTD,BHP,Metal ore mining,341862.0,278021.0,,63841.0,,0.7237490293719798,80.15937459100672
Cloudbreak Mine,CHICHESTER METALS PTY LTD,Fortescue,Metal ore mining,332001.0,247491.0,,31575.0,52935.0,0.7028725084991215,80.86224709950585
Varanus Hub,Santos Limited,Other,LNG / oil and gas,312681.0,227595.0,,66000.0,19086.0,0.6619705327092804,81.52421763221513
Kwinana Pigment Plant,Tronox Management Pty Ltd,Other,Other manufacturing,311831.0,278742.0,,23445.0,9644.0,0.6601710151408867,82.18438864735602
Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,Rio Tinto,Metal ore mining,304904.0,152378.0,,152526.0,,0.6455060054982248,82.82989465285424
South West Synthetic Rutile Operations,Iluka Resources Limited,Other,Metal ore mining,285198.0,238856.0,,46342.0,,0.6037868370243838,83.43368148987862
Vincent Project Venture,Woodside Energy Ltd.,Woodside,LNG / oil and gas,282383.0,261109.0,,21275.0,,0.5978272582537626,84.03150874813238
Tropicana Gold Mine,AngloGold Ashanti Australia Limited,Other,Metal ore mining,280553.0,285439.0,4886.0,,,0.5939530027829857,84.62546175091536
Fimiston Operations,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,Other,Metal ore mining,271036.0,125151.0,,136139.0,9746.0,0.5738047572554538,85.19926650817082
Gruyere Mine Site,Gruyere Mining Company Pty Ltd,Other,Metal ore mining,267882.0,190697.0,,77185.0,,0.5671274885369673,85.76639399670779
Rail,THE PILBARA INFRASTRUCTURE PTY LTD,Other,Transport,264806.0,240979.0,,10314.0,13513.0,0.5606153520188746,86.32700934872666
West Angelas Mine,Robe River Mining Co. Pty. Ltd.,Rio Tinto,Metal ore mining,264443.0,204720.0,,59723.0,,0.5598468521631959,86.88685620088985
Telfer Gold Mine,GREATLAND HOLDINGS GROUP PTY LTD,Other,Metal ore mining,261212.0,192357.0,,68855.0,,0.5530065683238078,87.43986276921366
Brockman 4 Mine,Hamersley Iron Pty. Limited,Rio Tinto,Metal ore mining,232771.0,165060.0,,67711.0,,0.492794710485357,87.93265747969902
Newmont Boddington Gold Operation,Newmont Boddington Pty Ltd,Other,Metal ore mining,218347.0,194483.0,,11986.0,11878.0,0.4622579558894632,88.39491543558849
Chandala Processing Plant,Tronox Management Pty Ltd,Other,Other manufacturing,214468.0,193612.0,,20856.0,,0.4540458045391116,88.8489612401276
DBNGP,DBNGP (WA) Transmission Pty Limited,Other,Transport,211921.0,232997.0,,,,0.44865360307240737,89.2976148432
Thunderbox Operations,NORTHERN STAR (THUNDERBOX) PTY LTD,Other,Metal ore mining,190387.0,180197.0,,,10190.0,0.40306441328677395,89.70067925648677
Eliwana Mine,FMG SOLOMON PTY LTD,Fortescue,Metal ore mining,178715.0,157344.0,,,,0.3783538614534911,90.07903311794026
Tom Price Mine / WTS,Hamersley Iron Pty. Limited,Rio Tinto,Metal ore mining,172874.0,138056.0,,34818.0,,0.36598800013938854,90.44502111807964
Wodgina Lithium Project,MARBL Lithium Operations Pty Ltd,Other,Metal ore mining,169821.0,138301.0,,31520.0,,0.35952455644961706,90.80454567452925
Pilgangoora Operations,PLS GROUP LIMITED,Other,Metal ore mining,167449.0,145243.0,,22206.0,,0.3545028438940527,91.1590485184233
Duketon South Operations,Regis Resources Limited,Other,Metal ore mining,164526.0,167545.0,3019.0,,,0.34831462053827084,91.50736313896158
Sunrise Dam,AngloGold Ashanti Australia Limited,Other,Metal ore mining,163952.0,137390.0,,26562.0,,0.3470994169097321,91.85446255587131
Hope Downs 1 Mine,Hamersley HMS Pty Ltd,Rio Tinto,Metal ore mining,161539.0,100000.0,,61539.0,,0.3419909040949864,92.19645345996629
Ningaloo Vision FPSO,Santos Limited,Other,LNG / oil and gas,159413.0,180651.0,21238.0,,,0.3374899930945101,92.5339434530608
Iron Bridge Mine,IB Operations Pty Ltd,Other,Metal ore mining,156160.0,100000.0,,24819.0,31341.0,0.33060313350629306,92.86454658656709
Marandoo Mine,Hamersley Iron Pty. Limited,Rio Tinto,Metal ore mining,153982.0,100000.0,,53982.0,,0.3259921343722209,93.1905387209393
Yandicoogina Mine,Hamersley Iron - Yandi Pty Limited,Rio Tinto,Metal ore mining,151953.0,123266.0,,28687.0,,0.32169658008249075,93.51223530102179
Koodaideri Mine,Mount Bruce Mining Pty Ltd,Other,Metal ore mining,150607.0,593864.0,443257.0,,,0.3188469910859521,93.83108229210774
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,Woodside,LNG / oil and gas,144213.0,132862.0,,10607.0,745.0,0.30531038481264755,94.13639267692038
Hope Downs 4 Mine,Hamersley HMS Pty Ltd,Rio Tinto,Metal ore mining,143256.0,100000.0,,43256.0,,0.30328433973858554,94.43967701665896
Kwinana Alumina Refinery,Alcoa of Australia Limited,Alcoa,Alumina and metals,139861.0,100000.0,,,39861.0,0.29609685486247217,94.73577387152143
Paraburdoo Mine,Hamersley Iron Pty. Limited,Rio Tinto,Metal ore mining,139337.0,100000.0,,63907.0,,0.29498750520854483,95.03076137672997
King of the Hills,GREENSTONE RESOURCES (WA) PTY LTD,Other,Metal ore mining,136354.0,158105.0,21751.0,,,0.2886722570832293,95.3194336338132
West Pilbara Iron Ore Project,ONSLOW IRON PTY LTD,Other,Metal ore mining,135870.0,100000.0,,35870.0,,0.28764759060899103,95.6070812244222
Beharra Springs,BEACH ENERGY LIMITED,Other,LNG / oil and gas,128002.0,100000.0,,11588.0,16414.0,0.27099040916414274,95.87807163358634
Greenbushes Lithium Operation,Talison Lithium Australia Pty Ltd,Other,Metal ore mining,127780.0,100000.0,,27780.0,,0.2705204175168682,96.14859205110321
Onslow Haul Road,ONSLOW INFRACO PTY LTD,Other,Transport,126242.0,100000.0,,26242.0,,0.2672643492578218,96.41585640036104
Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,Other,Metal ore mining,123215.0,106554.0,,16661.0,,0.26085594963484826,96.67671234999588
Telfer Gold Mine,Newcrest Mining Limited,Other,Metal ore mining,119821.0,143577.0,23756.0,,,0.2536705818382271,96.9303829318341
CTC WA Facility,CENTURION TRANSPORT CO. PTY LTD,Other,Transport,118994.0,119456.0,462.0,,,0.25191975709815473,97.18230268893225
Jundee Gold Mine,NORTHERN STAR RESOURCES LIMITED,Other,Metal ore mining,115913.0,140519.0,24606.0,,,0.24539703518260086,97.42769972411486
Macedon,WOODSIDE ENERGY GLOBAL PTY LTD,Woodside,LNG / oil and gas,113092.0,100000.0,,13092.0,,0.23942475393502624,97.66712447804989
Kemerton Silicon Smelter,SIMCOA OPERATIONS PTY. LTD.,Other,Alumina and metals,112136.0,100000.0,,,,0.23740082594045647,97.90452530399034
WA Transport facility,MGM BULK PTY LTD,Other,Transport,109830.0,100000.0,,9830.0,,0.23251884063137915,98.13704414462173
Karlawinda Gold Project,Capricorn Metals Limited,Other,Metal ore mining,109583.0,100000.0,,9583.0,,0.2319959219967989,98.36904006661852
YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP IRON ORE PTY LTD,BHP,Metal ore mining,106656.0,100000.0,,6656.0,,0.22579923032304813,98.59483929694157
Premier Coal Mine (Open Cut),Premier Coal Pty Ltd,Other,Coal mining,106030.0,100000.0,,6030.0,,0.22447393856091352,98.81931323550249
Carosue Dam Operations,NORTHERN STAR (CAROSUE DAM) PTY LTD,Other,Metal ore mining,104670.0,100000.0,,,4670.0,0.2215947104514837,99.04090794595398
Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pty Ltd,Other,Transport,95267.0,100000.0,,,,0.20168781198606572,99.24259575794004
Dongara Operations,ADBRI LIMITED,Other,Other manufacturing,91814.0,100000.0,,,,0.19437753649940312,99.43697329443944
Leinster Power Station,TEC DESERT PTY LTD,Other,Electricity,83141.0,100000.0,,,,0.17601610606331144,99.61298940050276
NKW01 Nickel West Kwinana Facility,BHP NICKEL WEST PTY LTD,BHP,Alumina and metals,59573.0,100000.0,,,,0.12612077659048668,99.73911017709324
Mt Keith Power Station,TEC DESERT PTY LTD,Other,Electricity,52880.0,100000.0,,,,0.11195116354900601,99.85106134064225
NMK01 Nickel West Mt Keith Facility,BHP NICKEL WEST PTY LTD,BHP,Metal ore mining,32437.0,100000.0,,,,0.06867170748939311,99.91973304813163
NKS01 Nickel West Kalgoorlie Facility,BHP NICKEL WEST PTY LTD,BHP,Alumina and metals,32038.0,100000.0,,,,0.06782699277199422,99.98756004090363
Ravensthorpe Nickel Operation,FQM Australia Nickel Pty Ltd,Other,Metal ore mining,5876.0,100000.0,,,,0.012439959096330546,99.99999999999996
