facility_id,names,years,first_year,last_year,emitters
APU01 PYRENEES AOA FACILITY,APU01 Pyrenees - AOA Facility,9,2016,2024,BHP BILLITON PETROLEUM PTY LTD; BHP PETROLEUM PTY LTD; WOODSIDE ENERGY GLOBAL PTY LTD
ARC01 MINING AREA C MNG FACILITY,ARC01 Mining Area C - MNG Facility,9,2016,2024,BHP BILLITON IRON ORE PTY. LTD.; BHP IRON ORE PTY LTD
ATCO GAS AUSTRALIA PTY LTD,ATCO Gas Australia Pty Ltd,6,2016,2021,ATCO GAS AUSTRALIA GP PTY LTD; ATCO Gas Australia GP Pty Ltd
AURIZON RAIL FREIGHT WA,Aurizon Rail Freight WA,2,2020,2021,AURIZON OPERATIONS LIMITED
AWR RAIL FREIGHT WA,AWR Rail Freight WA,4,2016,2019,AUSTRALIA WESTERN RAILROAD PTY LTD
BEHARRA SPRINGS,Beharra Springs,3,2022,2024,BEACH ENERGY (OPERATIONS) LIMITED; BEACH ENERGY LIMITED
BODDINGTON MINE,Boddington Mine,2,2016,2017,NEWMONT BODDINGTON PTY LTD
BROCKMAN 2 NAMMULDI MINES,Brockman 2 / Nammuldi Mines,9,2016,2024,HAMERSLEY IRON PTY. LIMITED; Hamersley Iron Pty. Limited
BROCKMAN 4 MINE,Brockman 4 Mine,9,2016,2024,HAMERSLEY IRON PTY. LIMITED; Hamersley Iron Pty. Limited
CAROSUE DAM,Carosue Dam,1,2020,2020,NORTHERN STAR (CAROSUE DAM) PTY LTD
CAROSUE DAM OPERATIONS,Carosue Dam Operations,4,2021,2024,NORTHERN STAR (CAROSUE DAM) PTY LTD
CHANDALA PROCESSING PLANT,Chandala Processing Plant,9,2016,2024,TIWEST PTY LTD; TRONOX MANAGEMENT PTY LTD; Tronox Management Pty Ltd
CHRISTMAS CREEK MINE,Christmas Creek Mine,9,2016,2024,CHICHESTER METALS PTY LTD
CLOUDBREAK MINE,Cloudbreak Mine,9,2016,2024,CHICHESTER METALS PTY LTD
COCKBURN OPERATIONS,Cockburn Operations,9,2016,2024,ADBRI LIMITED; ADELAIDE BRIGHTON LIMITED; ADELAIDE BRIGHTON LTD.; Adelaide Brighton Ltd.
CSBP KWINANA FACILITY,CSBP Kwinana Facility,9,2016,2024,CSBP LIMITED; CSBP Limited
CTC WA FACILITY,CTC WA Facility,5,2020,2024,CENTURION TRANSPORT CO. PTY LTD
DBNGP,DBNGP,9,2016,2024,DBNGP (WA) TRANSMISSION PTY LIMITED; DBNGP (WA) Transmission Pty Limited
DONGARA OPERATIONS,Dongara Operations,6,2018,2024,ADBRI LIMITED; ADELAIDE BRIGHTON LTD.
DUKETON SOUTH OPERATIONS,Duketon South Operations,5,2020,2024,REGIS RESOURCES LIMITED; Regis Resources Limited
EASTERN RIDGE MINE,Eastern Ridge Mine,3,2016,2018,BHP BILLITON IRON ORE PTY. LTD.
ELIWANA MINE,Eliwana Mine,4,2021,2024,FMG SOLOMON PTY LTD
ENFIELD PROJECT VENTURE,Enfield Project Venture,2,2016,2017,WOODSIDE ENERGY LTD.; Woodside Energy Ltd.
FACILITY WA CTC,Facility WA CTC,2,2018,2019,CENTURION TRANSPORT CO. PTY LTD
FIMISTON,Fimiston,4,2016,2020,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD
FIMISTON OPERATIONS,Fimiston Operations,4,2021,2024,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD
FLNG,FLNG,7,2018,2024,SHELL AUSTRALIA PTY LTD
FORTESCUE RAIL,Fortescue Rail,3,2016,2019,THE PILBARA INFRASTRUCTURE PTY LTD
GOLDFIELDS GAS TRANSMISSION PIPELINE,Goldfields Gas Transmission Pipeline,6,2019,2024,GOLDFIELDS GAS TRANSMISSION PTY LTD; Goldfields Gas Transmission Pty Ltd
GORGON OPERATIONS,Gorgon Operations,9,2016,2024,CHEVRON AUSTRALIA PTY LTD
GRANNY SMITH MINE SITE,Granny Smith Mine Site,7,2018,2024,GSM MINING COMPANY PTY LTD
GREENBUSHES LITHIUM OPERATION,Greenbushes Lithium Operation,2,2023,2024,Talison Lithium Australia Pty Ltd
GRUYERE GOLD MINE,Gruyere Gold Mine,1,2019,2019,GRUYERE MINING COMPANY PTY LTD
GRUYERE MINE SITE,Gruyere Mine Site,5,2020,2024,GRUYERE MINING COMPANY PTY LTD; Gruyere Mining Company Pty Ltd
GUDAI DARRI MINE,Gudai-Darri Mine,2,2022,2023,MOUNT BRUCE MINING PTY LTD; Mount Bruce Mining Pty Ltd
HOPE DOWNS 1 MINE,Hope Downs 1 Mine,9,2016,2024,HAMERSLEY HMS PTY LTD; Hamersley HMS Pty Ltd
HOPE DOWNS 4 MINE,Hope Downs 4 Mine,6,2019,2024,HAMERSLEY HMS PTY LTD; Hamersley HMS Pty Ltd
