year,regime,facility,parent,sector,covered_t,baseline_t,headroom_t,accus_surrendered,smcs_surrendered,smcs_issued,above_baseline
2016,original,North West Shelf Project,Woodside,LNG / oil and gas,7657741.0,,,0.0,0.0,0.0,False
2016,original,APU01 Pyrenees - AOA Facility,BHP,LNG / oil and gas,592482.0,,,0.0,0.0,0.0,False
2016,original,Fortescue Rail,Other,Other,193041.0,,,0.0,0.0,0.0,False
2016,original,Eastern Ridge Mine,BHP,Other,101632.0,,,0.0,0.0,0.0,False
2016,original,Gorgon Operations,Chevron,LNG / oil and gas,7721771.0,8338429.0,616658.0,0.0,0.0,0.0,False
2016,original,WOR01 Worsley Alumina Refinery/Mine,South32,Other,3661338.0,3722742.0,61404.0,0.0,0.0,0.0,False
2016,original,Pluto LNG,Woodside,LNG / oil and gas,1967704.0,2385534.0,417830.0,0.0,0.0,0.0,False
2016,original,Cockburn Operations,Other,Other manufacturing,1093801.0,1839661.0,745860.0,0.0,0.0,0.0,False
2016,original,Yara Pilbara,Yara,Other,1388085.0,1623773.0,235688.0,0.0,0.0,0.0,False
2016,original,Pinjarra Alumina Refinery,Alcoa,Alumina and metals,1470959.0,1550868.0,79909.0,0.0,0.0,0.0,False
2016,original,Wagerup Alumina Refinery,Alcoa,Alumina and metals,1433823.0,1481761.0,47938.0,0.0,0.0,0.0,False
2016,original,CSBP Kwinana Facility,Other,Other manufacturing,615658.0,1319204.0,703546.0,0.0,0.0,0.0,False
2016,original,Kwinana Alumina Refinery,Alcoa,Alumina and metals,1282994.0,1309104.0,26110.0,0.0,0.0,0.0,False
2016,original,Sino Iron Project - Cape Preston,CITIC,Metal ore mining,1051543.0,1293069.0,241526.0,0.0,0.0,0.0,False
2016,original,Kwinana Refinery,Other,Other,660542.0,739256.0,78714.0,0.0,0.0,0.0,False
2016,original,Pilbara Rail Operations,Rio Tinto,Transport,643938.0,705421.0,61483.0,0.0,0.0,0.0,False
2016,original,Telfer Gold Mine,Other,Metal ore mining,471889.0,632775.0,160886.0,0.0,0.0,0.0,False
2016,original,Varanus Hub,Other,LNG / oil and gas,262828.0,620263.0,357435.0,0.0,0.0,0.0,False
2016,original,Vincent Project Venture,Woodside,LNG / oil and gas,296976.0,598755.0,301779.0,0.0,0.0,0.0,False
2016,original,Murrin Murrin Operations,Other,Metal ore mining,502887.0,568485.0,65598.0,0.0,0.0,0.0,False
2016,original,Christmas Creek Mine,Fortescue,Metal ore mining,436482.0,556084.0,119602.0,0.0,0.0,0.0,False
2016,original,Ningaloo Vision FPSO,Other,LNG / oil and gas,275343.0,547856.0,272513.0,0.0,0.0,0.0,False
2016,original,PRL03 Rail - IOR Facility,BHP,Transport,510447.0,531328.0,20881.0,0.0,0.0,0.0,False
2016,original,Cloudbreak Mine,Fortescue,Metal ore mining,411362.0,503395.0,92033.0,0.0,0.0,0.0,False
2016,original,Roy Hill Mine,Other,Metal ore mining,193723.0,386581.0,192858.0,0.0,0.0,0.0,False
2016,original,Solomon Mine,Fortescue,Metal ore mining,324651.0,377697.0,53046.0,0.0,0.0,0.0,False
2016,original,Chandala Processing Plant,Other,Other manufacturing,234537.0,374904.0,140367.0,0.0,0.0,0.0,False
2016,original,Newman Power Station,Other,Electricity,159852.0,371903.0,212051.0,0.0,0.0,0.0,False
2016,original,DBNGP,Other,Transport,235918.0,360901.0,124983.0,0.0,0.0,0.0,False
2016,original,ARC01 Mining Area C - MNG Facility,BHP,Metal ore mining,307622.0,354064.0,46442.0,0.0,0.0,0.0,False
2016,original,Yarnima Power Station,BHP,Electricity,302918.0,333116.0,30198.0,0.0,0.0,0.0,False
2016,original,Kwinana Pigment Plant,Other,Other manufacturing,309154.0,324572.0,15418.0,0.0,0.0,0.0,False
2016,original,South West Synthetic Rutile Operations,Other,Metal ore mining,236844.0,323579.0,86735.0,0.0,0.0,0.0,False
2016,original,Brockman 2 / Nammuldi Mines,Rio Tinto,Metal ore mining,266172.0,316854.0,50682.0,0.0,0.0,0.0,False
2016,original,Enfield Project Venture,Woodside,Other,211235.0,309673.0,98438.0,0.0,0.0,0.0,False
2016,original,Tropicana Gold Mine,Other,Metal ore mining,239861.0,283693.0,43832.0,0.0,0.0,0.0,False
2016,original,MWB01 Mt Whaleback Mine - MNG Facility,BHP,Other,204194.0,253714.0,49520.0,0.0,0.0,0.0,False
2016,original,West Angelas Mine,Rio Tinto,Metal ore mining,237319.0,244656.0,7337.0,0.0,0.0,0.0,False
2016,original,Fimiston,Other,Other,226876.0,238394.0,11518.0,0.0,0.0,0.0,False
2016,original,Mt Keith Power Station,Other,Electricity,219180.0,233797.0,14617.0,0.0,0.0,0.0,False
2016,original,Wheatstone Project LNG Plant and Associated Facilities,Other,Other,169756.0,229260.0,59504.0,0.0,0.0,0.0,False
2016,original,Jimblebar Mine,BHP,Metal ore mining,216882.0,225310.0,8428.0,0.0,0.0,0.0,False
2016,original,AWR Rail Freight WA,Other,Other,169479.0,216451.0,46972.0,0.0,0.0,0.0,False
2016,original,Boddington Mine,Other,Other,207938.0,208038.0,100.0,0.0,0.0,0.0,False
2016,original,YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP,Metal ore mining,188419.0,195783.0,7364.0,0.0,0.0,0.0,False
2016,original,Tom Price Mine / WTS,Rio Tinto,Metal ore mining,160945.0,195096.0,34151.0,0.0,0.0,0.0,False
2016,original,Solomon Power Station,Other,Electricity,175216.0,183950.0,8734.0,0.0,0.0,0.0,False
2016,original,NKW01 Nickel West Kwinana Facility,BHP,Alumina and metals,162531.0,181233.0,18702.0,0.0,0.0,0.0,False
2016,original,Leinster Power Station,Other,Electricity,168384.0,173336.0,4952.0,0.0,0.0,0.0,False
2016,original,NKS01 Nickel West Kalgoorlie Facility,BHP,Alumina and metals,161689.0,166573.0,4884.0,0.0,0.0,0.0,False
2016,original,Marandoo Mine,Rio Tinto,Metal ore mining,138251.0,160856.0,22605.0,0.0,0.0,0.0,False
2016,original,ATCO Gas Australia Pty Ltd,Other,Other,165165.0,159142.0,-6023.0,6023.0,0.0,0.0,True
2016,original,Koolyanobbing/Windarling Operations,Other,Other,111149.0,155569.0,44420.0,0.0,0.0,0.0,False
2016,original,Sunrise Dam,Other,Metal ore mining,119170.0,146375.0,27205.0,0.0,0.0,0.0,False
2016,original,Hope Downs 1 Mine,Rio Tinto,Metal ore mining,147190.0,146322.0,-868.0,868.0,0.0,0.0,True
2016,original,Brockman 4 Mine,Rio Tinto,Metal ore mining,135344.0,144745.0,9401.0,0.0,0.0,0.0,False
2016,original,Ravensthorpe Nickel Operation,Other,Metal ore mining,110383.0,133096.0,22713.0,0.0,0.0,0.0,False
2016,original,Paraburdoo Mine,Rio Tinto,Metal ore mining,114947.0,131529.0,16582.0,0.0,0.0,0.0,False
2016,original,Yandicoogina Mine,Rio Tinto,Metal ore mining,134049.0,129106.0,-4943.0,4943.0,0.0,0.0,True
2016,original,Jundee Gold Mine,Other,Metal ore mining,101563.0,124432.0,22869.0,0.0,0.0,0.0,False
2016,original,Kemerton Silicon Smelter,Other,Alumina and metals,102987.0,103809.0,822.0,0.0,0.0,0.0,False
2016,original,St Ives Gold Mine,Other,Other,101590.0,100000.0,-1590.0,1590.0,0.0,0.0,True
2017,original,Gorgon Operations,Chevron,LNG / oil and gas,9022087.0,,,0.0,0.0,0.0,False
2017,original,North West Shelf Project,Woodside,LNG / oil and gas,7645451.0,,,0.0,0.0,0.0,False
2017,original,APU01 Pyrenees - AOA Facility,BHP,LNG / oil and gas,307156.0,,,0.0,0.0,0.0,False
2017,original,Wheatstone Project LNG Plant and Associated Facilities,Other,Other,284391.0,,,0.0,0.0,0.0,False
2017,original,Fortescue Rail,Other,Other,191407.0,,,0.0,0.0,0.0,False
2017,original,Eastern Ridge Mine,BHP,Other,90201.0,,,0.0,0.0,0.0,False
2017,original,Wheatstone Operations,Chevron,LNG / oil and gas,2924996.0,4093724.0,1168728.0,0.0,0.0,0.0,False
2017,original,WOR01 Worsley Alumina Refinery/Mine,BHP,Other,3581332.0,3722742.0,141410.0,0.0,0.0,0.0,False
2017,original,Prelude Floating Liquified Natural Gas,Shell,Other,253656.0,2725687.0,2472031.0,0.0,0.0,0.0,False
2017,original,Pluto LNG,Woodside,LNG / oil and gas,1931136.0,2385534.0,454398.0,0.0,0.0,0.0,False
2017,original,Cockburn Operations,Other,Other manufacturing,1020189.0,1839661.0,819472.0,0.0,0.0,0.0,False
2017,original,YPF AMMONIA PLANT,Yara,Other manufacturing,1512492.0,1623773.0,111281.0,0.0,0.0,0.0,False
2017,original,Pinjarra Alumina Refinery,Alcoa,Alumina and metals,1490263.0,1550868.0,60605.0,0.0,0.0,0.0,False
2017,original,Wagerup Alumina Refinery,Alcoa,Alumina and metals,1448358.0,1481761.0,33403.0,0.0,0.0,0.0,False
2017,original,CSBP Kwinana Facility,Other,Other manufacturing,601148.0,1319204.0,718056.0,0.0,0.0,0.0,False
2017,original,Kwinana Alumina Refinery,Alcoa,Alumina and metals,1250831.0,1309104.0,58273.0,0.0,0.0,0.0,False
2017,original,Sino Iron Project – Cape Preston,CITIC,Metal ore mining,1179835.0,1293069.0,113234.0,0.0,0.0,0.0,False
2017,original,Kwinana Refinery,Other,Other,727543.0,739256.0,11713.0,0.0,0.0,0.0,False
2017,original,Pilbara Rail Operations,Rio Tinto,Transport,684091.0,705421.0,21330.0,0.0,0.0,0.0,False
2017,original,Telfer Gold Mine,Other,Metal ore mining,535825.0,632775.0,96950.0,0.0,0.0,0.0,False
2017,original,Varanus Hub,Other,LNG / oil and gas,288711.0,620263.0,331552.0,0.0,0.0,0.0,False
2017,original,Vincent Project Venture,Woodside,LNG / oil and gas,192623.0,598755.0,406132.0,0.0,0.0,0.0,False
2017,original,Murrin Murrin Operations,Other,Metal ore mining,513365.0,568485.0,55120.0,0.0,0.0,0.0,False
2017,original,Christmas Creek Mine,Fortescue,Metal ore mining,432730.0,556084.0,123354.0,0.0,0.0,0.0,False
2017,original,Ningaloo Vision FPSO,Other,LNG / oil and gas,218175.0,547856.0,329681.0,0.0,0.0,0.0,False
2017,original,PRL03 Rail - IOR Facility,BHP,Transport,509184.0,531328.0,22144.0,0.0,0.0,0.0,False
2017,original,Cloudbreak Mine,Fortescue,Metal ore mining,379620.0,503395.0,123775.0,0.0,0.0,0.0,False
2017,original,Roy Hill Mine,Other,Metal ore mining,391919.0,386581.0,-5338.0,5338.0,0.0,0.0,True
2017,original,Solomon Mine,Fortescue,Metal ore mining,334667.0,377697.0,43030.0,0.0,0.0,0.0,False
2017,original,Chandala Processing Plant,Other,Other manufacturing,242617.0,374904.0,132287.0,0.0,0.0,0.0,False
2017,original,Newman Power Station,Other,Electricity,188790.0,371903.0,183113.0,0.0,0.0,0.0,False
2017,original,DBNGP,Other,Transport,251197.0,360901.0,109704.0,0.0,0.0,0.0,False
2017,original,ARC01 Mining Area C - MNG Facility,BHP,Metal ore mining,325339.0,354064.0,28725.0,0.0,0.0,0.0,False
