year,sector,covered_t
2016,Alumina and metals,4614983.0
2016,Electricity,1025550.0
2016,LNG / oil and gas,18774845.0
2016,Metal ore mining,6247498.0
2016,Other,7572020.0
2016,Other manufacturing,2253150.0
2016,Transport,1390303.0
2017,Alumina and metals,4617342.0
2017,Electricity,1063766.0
2017,LNG / oil and gas,22530335.0
2017,Metal ore mining,6532114.0
2017,Other,6347213.0
2017,Other manufacturing,3688284.0
2017,Transport,1444472.0
2018,Alumina and metals,4584415.0
2018,Electricity,1072680.0
2018,LNG / oil and gas,25252861.0
2018,Metal ore mining,7076859.0
2018,Other,5432767.0
2018,Other manufacturing,3331761.0
2018,Transport,1560584.0
2019,Alumina and metals,4667131.0
2019,Electricity,1049032.0
2019,LNG / oil and gas,21806461.0
2019,Metal ore mining,8273443.0
2019,Other,5341479.0
2019,Other manufacturing,3535480.0
2019,Transport,1552231.0
2020,Alumina and metals,4613527.0
2020,Electricity,1070155.0
2020,LNG / oil and gas,20566016.0
2020,Metal ore mining,9090123.0
2020,Other,4687716.0
2020,Other manufacturing,3807753.0
2020,Transport,2062420.0
2021,Alumina and metals,8113989.0
2021,Electricity,1232218.0
2021,LNG / oil and gas,23617509.0
2021,Metal ore mining,9524163.0
2021,Other,245040.0
2021,Other manufacturing,3459031.0
2021,Transport,2026420.0
2022,Alumina and metals,7716303.0
2022,Coal mining,108551.0
2022,Electricity,1222860.0
2022,LNG / oil and gas,24069956.0
2022,Metal ore mining,10232956.0
2022,Other manufacturing,3375046.0
2022,Transport,2095156.0
2023,Alumina and metals,7154113.0
2023,Coal mining,110312.0
2023,Electricity,1333732.0
2023,LNG / oil and gas,23713415.0
2023,Metal ore mining,10357090.0
2023,Other manufacturing,3301371.0
2023,Transport,2057207.0
2024,Alumina and metals,6137272.0
2024,Coal mining,106030.0
2024,Electricity,1318241.0
2024,LNG / oil and gas,24074519.0
2024,Metal ore mining,10047070.0
2024,Other manufacturing,3421489.0
2024,Transport,2130261.0
