council,item_id,item_desc,score,evidence,confidence
Shire of Harvey,P1,Named target with baseline and date,0,"Source page states no quantified emissions reduction targets or baseline dates are given",confirmed absent on this page (webpage only, not the underlying Action Plan PDF)
Shire of Harvey,P2,Named responsible person or committee,1,"Shire President quoted acknowledging climate impacts; no standing committee or officer named for ongoing oversight",partial; webpage only
Shire of Harvey,P3,Budget or resourcing commitment,0,No financial commitment stated on this page,not found on this page
Shire of Harvey,P4,Reporting or review cadence,2,"'The Action Plan will be monitored on a biannual basis'",confirmed present
Shire of Harvey,P5,Mitigation and adaptation both addressed,2,"Mitigation: 'emission reduction, water conservation, waste diversion'. Adaptation: 'coastal renourishment and adaptation'",confirmed present
Shire of Harvey,P6,Cross-council collaboration,1,"Page states the Shire is 'working with key stakeholders' without naming specific council partners",partial; vague
Shire of Harvey,P7,First Peoples acknowledgement,1,"Generic footer 'Acknowledgement of Country' recognising traditional custodians; not tied specifically to climate planning or joint planning",partial
Shire of Harvey,P8,Justice or equity content,0,Not present on this page,not found
Shire of Harvey,P9,Biodiversity or natural-environment link,0,Not present on this page,not found
Shire of Harvey,P10,Document form,standalone,"Named as a distinct Action Plan; also referred to on the same page as the 'Shire of Harvey Climate Change Declaration'",descriptive
Shire of Harvey,P11,Stated purpose or driver,unclear,"Shire President quote frames it as leadership; page article dated 21 Nov 2022, distinct from the local Declaration's own adoption date (23 Aug 2022 per Council Action Register)",interpretive context
Shire of Harvey,P12,Reference to which WALGA instrument,RESOLVED: not WALGA's Declaration,"Re-read in full 2026-08-09. The page's own naming, 'Shire of Harvey Climate Change Declaration,' is a LOCALLY-BRANDED instrument, adopted 23 Aug 2022 by Ordinary Council Meeting; the page contains no reference to WALGA's Western Australian Local Government Declaration on Climate Change at all. Same pattern as City of Albany's own Climate Change Action Declaration. This resolves the prior pass's ambiguity flag, but the resolution is a downgrade: this webpage is not evidence of WALGA-Declaration signatory status. Harvey's presence in the signatory sample rests entirely on the separate Council Action Register evidence in data/signatory-sample.csv, still only medium confidence.",resolved this pass; downgrades confidence in Harvey's inclusion
City of Kalamunda,P1,Named target with baseline and date,2,"'The City of Kalamunda will achieve a 40 per cent reduction in its operational emissions by 2030, and net-zero emissions by 2035, compared with a 2020 baseline.' Also a separate waste target: 60% landfill diversion by 2030 vs 2018 benchmark.",confirmed; full Climate Change Action Plan PDF read directly
City of Kalamunda,P2,Named responsible person or committee,1,"Draft reviewed by the 'Kalamunda Environmental and Sustainability Committee'; no single named officer or standing body given ongoing delivery responsibility for the Plan as a whole",partial; committee named for development, not clearly for ongoing oversight
City of Kalamunda,P3,Budget or resourcing commitment,1,"All actions 'subject to (where necessary) Council approved Business Plans and/or Budget allocation of funding on a year by year basis'; a specific 'Financial Support packages' line exists for community solar PV, but no single overall budget figure for the Plan",partial
City of Kalamunda,P4,Reporting or review cadence,2,"'internal operational evaluation every year for the first five years of implementation and every two years thereafter'; 'greenhouse gas emissions will be reported annually via a recognised reporting mechanism'",confirmed present
City of Kalamunda,P5,Mitigation and adaptation both addressed,2,"Focus 1-3 (Carbon Footprint, Waste and Circular Economy, Sustainable Development) are mitigation; Focus 4 ('Resilience under Changing Climate Patterns') is a dedicated adaptation section with its own targets and actions",confirmed present
City of Kalamunda,P6,Cross-council collaboration,2,"'Collaboration with WALGA to seek grant funding from ARENA...for provision of EV charging facilities'; City became a member of the Switch Your Thinking regional sustainability collaboration in Oct 2022",confirmed present
