council,walga_declaration_status,signing_date,date_confidence,source,source_type,retrieved,note
Shire of Harvey,signatory (probable),2022-08-23,medium,"Shire of Harvey Council Action Register (Infrastructure Services item, 'Climate Change Declaration', marked Completed); corroborated by an Ordinary Council Meeting confirmed held on that date","council record (search-engine paraphrase; primary PDF not directly read, too large to fetch)",2026-08-05,Best-evidenced date found in this pass. Not independently confirmed against the primary minutes PDF; treat as medium confidence until read directly.
City of Kalamunda,signatory (confirmed status only),2021-08-10,unconfirmed / conflicting,City of Kalamunda Climate Change Knowledge Hub page states signatory status; a specific date (10 Aug 2021) is repeated across multiple search results but was not present when the same page was independently fetched,council webpage,2026-08-05,Signatory status confirmed directly from the council's own page. The date is flagged unconfirmed because a direct fetch of the cited page did not reproduce it: do not use this date in coding without locking it down against a primary source (a council minutes item or a dated media release).
City of Busselton,signatory (confirmed status only),,,City of Busselton climate change webpage states the City is a signatory to the WALGA Climate Change Declaration,council webpage,2026-08-05,No date found in this pass.
Shire of Denmark,signatory (weak evidence),,,A search snippet describes the Shire's 'commitment to the WALGA Climate Change Declaration'; the linked carbon reduction policy PDF could not be read (image-based) to confirm the exact wording,"council document (unread, image-based PDF)",2026-08-05,Not independently confirmed by direct document read. Treat as weak evidence pending a readable primary source.
City of Rockingham,ambiguous,,,A search-engine summary states the City 'signed WALGA's climate change declaration' in 2012 and 'supported its advocacy position in 2018'; a separate search on Fremantle references a WALGA Climate Change Policy Statement endorsed by State Council in August 2011,"council record (search-engine paraphrase, unverified)",2026-08-05,"High risk of conflating the Declaration with WALGA's own Policy Statement or an advocacy position, the same error this project already corrected once. Excluded from the sample until a primary source disambiguates which instrument Rockingham actually signed, and when."
City of Vincent,NOT this instrument,,,"Search results describe Council endorsing WALGA's 2018 Policy Statement on Climate Change, not the Declaration","council record (search-engine paraphrase, unverified)",2026-08-05,Kept as a documented example of the Declaration/Policy Statement conflation this project's coding item P12 exists to catch. Excluded from the signatory sample.
City of Albany,NOT this instrument,,,"The City of Albany's own 'Climate Change Action Declaration' is a separate, locally authored instrument (first adopted October 2020 following a Youth Advisory Council petition, revised December 2023), confirmed distinct from WALGA's Declaration by a direct page fetch",council webpage,2026-08-05,"Excluded from the sample: this is Albany's own declaration, not a signature on WALGA's Declaration. A structurally useful parallel (a weaker, locally authored instrument) but out of scope for this project."
City of Swan,unknown,,,"No public statement of signatory status or a date found in this pass; the City has separately declared a climate emergency, which is a different instrument again",not found,2026-08-05,Absence of evidence is not evidence of absence: this only means a general web search did not surface a statement either way.
City of Joondalup,unknown,,,No public statement of signatory status or a date found in this pass,not found,2026-08-05,Same caveat as City of Swan.
City of Cockburn,unknown,,,No public statement of signatory status or a date found in this pass; the City has its own Climate Change Strategy 2020-2030,not found,2026-08-05,Same caveat as City of Swan.
City of Bunbury,unknown,,,"No public statement of signatory status or a date found in this pass; the City has an endorsed Climate Change Policy and is a Cities Power Partnership member, both separate instruments",not found,2026-08-05,Same caveat as City of Swan.
Shire of Augusta-Margaret River,unknown,,,No public statement of signatory status or a date found in this pass; the Shire has publicly pushed back on WALGA's draft Climate Change Advocacy Position (April 2026),not found,2026-08-05,"Newsworthy dissent from a WALGA advocacy position is itself evidence this council engages critically with WALGA's climate program, but does not establish Declaration signatory status either way."
