record_id,source_title,authors_or_org,query_found,record_type,decision,reason
1,Motivations and Intended Outcomes in Local Governments' Declarations of Climate Emergency,"Ruiz-Campillo, Castan Broto, Westman",1,journal article,included,"Textual analysis of 300 CE declarations worldwide; motivations and intended-outcomes framework"
2,Climate emergency declarations by local governments: what comes next?,"Bush, Doyon",1;2;6;8,journal article,included,"Core study named in project brief; Victoria, 39 councils, transformative-action framework"
3,The role of UK local government in delivering on net zero carbon commitments,"Gudde, Oakes, Cochrane, Caldwell, Bury",1;5;12,journal article,included,"308 UK local authorities, document review of delivery plans after declaration"
4,Implications of declaration of climate emergency on Australian local government policy in the State of Victoria (LLM retriever-reader pipeline),"Hicks, Davidson, Lau, et al.",1;6;13,journal article,included,"Victoria; before/after LLM-based detection of climate emergency mode in policy text"
5,Climate Emergencies in Australian Local Governments: From Symbolic Act to Disrupting the Status Quo?,"Greenfield, Moloney, Granberg",1;6;9,journal article,included,"Core study named in project brief; Victoria, 30 councils, symbolic-vs-disruption framework"
6,Enhancing local governance for climate action: A guiding conceptual framework,unclear (ScienceDirect),1,journal article,screened out,"Conceptual governance framework, not specific to emergency or declaration instruments or before/after outcomes; not verified further this pass"
7,Climate emergency declaration (Grokipedia page),Grokipedia,1,AI-summary site,excluded,"Not peer-reviewed or independently citable"
8,What next for local government climate emergency declarations? The gap between rhetoric and action,"Howarth, Lane, Fankhauser",2;5,journal article,included,"28 London boroughs; four pathways and three purposes framework, interview-based"
9,Local Authorities are declaring a Climate and Nature Emergency,Sustain (advocacy org),2,advocacy webpage,excluded,"Campaign organisation page, not peer-reviewed research"
10,Councils declaring climate emergency: what next?,Campaign against Climate Change,2,advocacy webpage,excluded,"Campaign organisation page, not peer-reviewed research"
11,How Have Climate Emergency Declarations Helped Local Government Action to Decarbonise?,unclear (Springer book chapter),2,book chapter,screened out,"Full text not reachable this pass (paywalled); flagged for database re-run"
12,Climate emergency declaration (Wikipedia),Wikipedia,1;2;6,encyclopedia,excluded,"Not peer-reviewed; used only to orient the search"
13,Climate emergency declarations in 2366 jurisdictions,climateemergencydeclaration.org,2;7,advocacy/tally webpage,excluded,"Tally site, not analysis"
14,Havering council reverses climate emergency declaration,Fuse Energy (news),2,news article,excluded,"News report, not research"
15,We've declared a climate emergency, now what?,LSE (research institute page),2;5,commentary page,screened out,"Summarises others' work rather than original research; useful as a pointer, not verified as a primary source this pass"
16,Climate Change (Hunters Hill NSW council page),Hunters Hill Council,2,primary government webpage,excluded,"Council's own page, not research"
17,(no relevant academic result for WALGA-specific search),n/a,3,search outcome,confirms gap,"Search run specifically for WALGA declaration plus academic/study/thesis returned no matching study"
18,The Islamic Declaration on Global Climate Change: An Ideological Discourse Analysis,unclear (ResearchGate),3,journal article,excluded,"Different declaration and population: faith-based international statement, not WA local government"
19,Leipzig Declaration (Wikipedia),Wikipedia,3,encyclopedia,excluded,"Off-topic, different declaration"
20,Biographical Wikipedia pages (Whitmarsh; Burch; Lawrence),Wikipedia,3,encyclopedia,excluded,"Not on-topic research"
21,List of statements by major scientific organizations about climate change,Wikipedia,3,encyclopedia,excluded,"Off-topic, not local-government specific"
22,Frontiers article on UK universities' climate emergency declarations,unclear (Frontiers),3,journal article,excluded,"Population mismatch: universities, not local government. Noted in framework synthesis as a structurally similar weaker-declaration precedent"
23,core.ac.uk repository index entry,core.ac.uk,3,repository index,excluded,"Not resolvable to a single citable study this pass"
24,Symbolic or Substantive Policy? Measuring the Extent of Local Commitment to Climate Protection,"Krause, R. M.",4;15,journal article,included,"US municipalities, Cities for Climate Protection network; adjacent theory, voluntary network-commitment instrument closer in kind to WALGA's Declaration than an emergency declaration"
25,Voluntary agreements to improve environmental quality: symbolic and substantive cooperation,Delmas (Strategic Management Journal),4,journal article,excluded,"Studies firms, not local government"
26,The Soft Channels of Policy Diffusion: Insights from Local Climate Change Adaptation Policy,"Schulze, K.",4;14,journal article,included,"190 Hessen municipalities, Germany; diffusion-channel framework relevant to Objective 3's comparison-group design"
27,Climate Commitments (indy.gov page),City of Indianapolis,4,primary government webpage,excluded,"Council's own page, not research"
28,More than Symbols: The Effect of Symbolic Policies on Climate Policy Support,unclear (APSR),4,journal article,excluded,"Outcome is public opinion and support, not local-government policy-making content"
29,A well-timed shift from local to global agreements accelerates climate change mitigation,unclear (PMC),4,journal article,excluded,"Models international agreement structure, not local-government declarations"
30,Climate Emergency: Climate Action Planning and Delivery Recommendations,unclear (Science Policy Journal),5,journal article,screened out,"Not verified further this pass; flagged for database re-run"
31,The climate emergency: A tale of two cities,unclear (PMC),5,journal article,screened out,"Not verified further this pass; flagged for database re-run"
32,Other Resources (climateemergency.uk),Climate Emergency UK,5,advocacy webpage,excluded,"Resource list, not itself research"
33,What next for local government climate emergency declarations (Oxford ORA repository copy),"Howarth, Lane, Fankhauser",5,repository mirror,duplicate,"Same publication as record 8"
34,Australia's Climate Emergency Declaration Campaign,Climate Scorecard,6,advocacy/journalism webpage,excluded,"Not peer-reviewed"
35,Reflections Seven Years on From the First Declaration of Climate Emergency: Large-Scale Text Analysis of Local Government Climate Policy in Australia (preprint),"Hicks, Davidson, Lau, et al.",6,preprint,duplicate,"Preprint of record 4, superseded by the published Climatic Change (2025) version; cite the published version only"
36,CED regions in Australia,cedamia.org,1;6,advocacy/tally webpage,excluded,"Tally and advocacy site, not analysis"
37,Climate Emergencies in Australian Local Governments (RMIT research repository copy),"Greenfield, Moloney, Granberg",6,repository mirror,duplicate,"Same publication as record 5"
