file,kind,station,n_rows,first,last,note
614006_daily_ts.csv,daily_flow,614006,22195,1963-05-26,2024-02-29,
614037_daily_ts.csv,daily_flow,614037,14936,1983-04-10,2024-02-29,
614044_daily_ts.csv,daily_flow,614044,26208,1952-05-30,2024-02-29,
614196_daily_ts.csv,daily_flow,614196,21079,1966-06-15,2024-02-29,
614224_daily_ts.csv,daily_flow,614224,21077,1966-06-17,2024-02-29,
616002_daily_ts.csv,daily_flow,616002,20348,1968-06-15,2024-02-29,
616006_daily_ts.csv,daily_flow,616006,15973,1980-06-07,2024-02-29,
616013_daily_ts.csv,daily_flow,616013,16628,1972-03-29,2017-10-06,
616019_daily_ts.csv,daily_flow,616019,17858,1975-04-10,2024-02-29,
616041_daily_ts.csv,daily_flow,616041,15643,1981-05-03,2024-02-29,
616178_daily_ts.csv,daily_flow,616178,22220,1963-05-01,2024-02-29,
616216_daily_ts.csv,daily_flow,616216,21098,1966-05-27,2024-02-29,
617003_daily_ts.csv,daily_flow,617003,18909,1972-05-24,2024-02-29,
