station,station_name,water_year,total_ML,baseline_ML,anom_pct
614006,Murray River - Baden Powell,1964,1098049.9016088955,232161.16440022946,372.9688121808069
614006,Murray River - Baden Powell,1965,341779.78550620977,232161.16440022946,47.216605494364906
614006,Murray River - Baden Powell,1966,273628.54034284153,232161.16440022946,17.86146104570927
614006,Murray River - Baden Powell,1967,586126.6249522824,232161.16440022946,152.46540542923947
614006,Murray River - Baden Powell,1968,393386.98979616887,232161.16440022946,69.44564816103242
614006,Murray River - Baden Powell,1969,98035.30344866356,232161.16440022946,-57.772737872878
614006,Murray River - Baden Powell,1970,316613.16839246685,232161.16440022946,36.376456075421856
614006,Murray River - Baden Powell,1971,155507.90399999134,232161.16440022946,-33.01726221018314
614006,Murray River - Baden Powell,1972,138399.14879999644,232161.16440022946,-40.386606365651204
614006,Murray River - Baden Powell,1973,359902.2239999746,232161.16440022946,55.02257878907282
614006,Murray River - Baden Powell,1974,724090.3200002229,232161.16440022946,211.89123377755905
614006,Murray River - Baden Powell,1975,221702.48639993323,232161.16440022946,-4.504921409795404
614006,Murray River - Baden Powell,1976,79702.53120000612,232161.16440022946,-65.66930933263042
614006,Murray River - Baden Powell,1977,78565.1672648295,232161.16440022946,-66.15921208536467
614006,Murray River - Baden Powell,1978,246874.86720006392,232161.16440022946,6.337710632114635
614006,Murray River - Baden Powell,1979,45016.2144000033,232161.16440022946,-80.6099290911556
614006,Murray River - Baden Powell,1980,93552.39101063648,232161.16440022946,-59.70368633689365
614006,Murray River - Baden Powell,1981,389684.82239999995,232161.16440022946,67.85099411726365
614006,Murray River - Baden Powell,1982,88749.21600000825,232161.16440022946,-61.77258318406309
614006,Murray River - Baden Powell,1983,630918.4607999992,232161.16440022946,171.75882858355257
614006,Murray River - Baden Powell,1984,175530.67199998838,232161.16440022946,-24.392749987510452
614006,Murray River - Baden Powell,1985,212157.10080001416,232161.16440022946,-8.616455578130077
614006,Murray River - Baden Powell,1986,136970.0064000017,232161.16440022946,-41.002188391907325
614006,Murray River - Baden Powell,1987,95692.66560002306,232161.16440022946,-58.781794600644034
614006,Murray River - Baden Powell,1988,362848.37760004075,232161.16440022946,56.291591032217504
614006,Murray River - Baden Powell,1989,167962.7231999987,232161.16440022946,-27.652532397518982
614006,Murray River - Baden Powell,1990,208918.95653042063,232161.16440022946,-10.011238498847685
614006,Murray River - Baden Powell,1991,325530.74880006316,232161.16440022946,40.21757240968653
614006,Murray River - Baden Powell,1992,397443.19679997925,232161.16440022946,71.19279954799642
614006,Murray River - Baden Powell,1993,184354.35839996376,232161.16440022946,-20.592077113229045
614006,Murray River - Baden Powell,1994,242690.3424000077,232161.16440022946,4.535288245551139
614006,Murray River - Baden Powell,1995,288711.12959996215,232161.16440022946,24.358064082692366
614006,Murray River - Baden Powell,1996,531597.9455998539,232161.16440022946,128.97798043578752
614006,Murray River - Baden Powell,1997,112681.49759998955,232161.16440022946,-51.46410559617344
614006,Murray River - Baden Powell,1998,208439.91359997983,232161.16440022946,-10.21757918105367
614006,Murray River - Baden Powell,1999,277733.31839997007,232161.16440022946,19.62953369805529
614006,Murray River - Baden Powell,2000,279938.8512000335,232161.16440022946,20.579534446785708
614006,Murray River - Baden Powell,2001,67553.48159998706,232161.16440022946,-70.90233339649794
614006,Murray River - Baden Powell,2002,149532.0479999998,232161.16440022946,-35.59127411067895
614006,Murray River - Baden Powell,2003,229414.0319999645,232161.16440022946,-1.1832867944826075
614006,Murray River - Baden Powell,2004,193411.84320002398,232161.16440022946,-16.690699023805887
614006,Murray River - Baden Powell,2005,278353.92959999177,232161.16440022946,19.89685282596585
614006,Murray River - Baden Powell,2006,62366.544000013404,232161.16440022946,-73.13653032317762
614006,Murray River - Baden Powell,2007,188404.27199998283,232161.16440022946,-18.847636517196666
614006,Murray River - Baden Powell,2008,190537.83359993345,232161.16440022946,-17.92863630221131
614006,Murray River - Baden Powell,2009,269404.79039999295,232161.16440022946,16.042143006983768
614006,Murray River - Baden Powell,2010,39712.29119998752,232161.16440022946,-82.89451584093267
614006,Murray River - Baden Powell,2011,165704.31360000276,232161.16440022946,-28.625309048527935
614006,Murray River - Baden Powell,2012,76459.42080002313,232161.16440022946,-67.06623134082301
614006,Murray River - Baden Powell,2013,131529.48479998112,232161.16440022946,-43.34561288931443
614006,Murray River - Baden Powell,2014,115616.07359999514,232161.16440022946,-50.20008023362548
614006,Murray River - Baden Powell,2015,30481.660800001468,232161.16440022946,-86.8704738457233
614006,Murray River - Baden Powell,2016,131959.67303987796,232161.16440022946,-43.160315645045266
614006,Murray River - Baden Powell,2017,313086.28344883636,232161.16440022946,34.85730236479074
614006,Murray River - Baden Powell,2018,259012.4704481533,232161.16440022946,11.565804348583498
614006,Murray River - Baden Powell,2019,86570.51106428592,232161.16440022946,-62.711028225614655
614006,Murray River - Baden Powell,2020,63718.96320000803,232161.16440022946,-72.55399568458355
614006,Murray River - Baden Powell,2021,398759.58719989465,232161.16440022946,71.75981531194479
614006,Murray River - Baden Powell,2022,206057.69280000613,232161.16440022946,-11.24368568173736
614044,Yarragil Brook - Yarragil Formation,1953,2778.7319427522643,1690.9752912554081,64.32717598666315
614044,Yarragil Brook - Yarragil Formation,1954,1957.0993454404047,1690.9752912554081,15.737903182927159
614044,Yarragil Brook - Yarragil Formation,1955,14734.128546858252,1690.9752912554081,771.3390800594958
614044,Yarragil Brook - Yarragil Formation,1956,8143.667370647489,1690.9752912554081,381.59588213743183
614044,Yarragil Brook - Yarragil Formation,1957,8092.120075374995,1690.9752912554081,378.54750552666394
614044,Yarragil Brook - Yarragil Formation,1958,4613.137655148264,1690.9752912554081,172.8092881666765
614044,Yarragil Brook - Yarragil Formation,1959,2195.5103999999997,1690.9752912554081,29.83692969103151
614044,Yarragil Brook - Yarragil Formation,1960,3742.211639147536,1690.9752912554081,121.30492731027762
614044,Yarragil Brook - Yarragil Formation,1961,3898.3680000000004,1690.9752912554081,130.53961936402908
614044,Yarragil Brook - Yarragil Formation,1962,2737.7567999999997,1690.9752912554081,61.904009724911106
