year,area_ha,production_t,yield_t_ha
1861,5500,5700,1.0363636363636364
1866,9000,6300,0.7
1871,10800,8600,0.7962962962962963
1876,8700,6500,0.7471264367816092
1877,7600,6100,0.8026315789473685
1878,9200,6800,0.7391304347826086
1879,9300,6900,0.7419354838709677
1880,10400,10500,1.0096153846153846
1881,11200,9000,0.8035714285714286
1882,8900,6000,0.6741573033707865
1883,9200,6800,0.7391304347826086
1884,11600,10200,0.8793103448275862
1885,11900,10400,0.8739495798319328
1886,11900,9200,0.773109243697479
1887,9700,7800,0.8041237113402062
1888,11100,7300,0.6576576576576577
1889,12400,8500,0.6854838709677419
1890,14400,13700,0.9513888888888888
1891,13700,12700,0.927007299270073
1892,10900,7200,0.6605504587155964
1893,14200,11100,0.7816901408450704
1894,17300,14100,0.815028901734104
1895,8700,4600,0.5287356321839081
1896,9400,4900,0.5212765957446809
1897,12700,6600,0.5196850393700787
1898,15700,11100,0.7070063694267515
1899,30400,23700,0.7796052631578947
1900,34200,26300,0.7690058479532164
1901,30100,21100,0.7009966777408638
1902,38300,26000,0.6788511749347258
1903,37400,26800,0.7165775401069518
1904,55800,51000,0.9139784946236559
1905,73700,54800,0.7435549525101763
1906,78900,62800,0.7959442332065906
1907,101300,75000,0.7403751233958539
1908,113200,79600,0.7031802120141343
1909,115300,66900,0.5802254986990459
1910,181700,152400,0.8387451843698404
1911,235500,160400,0.681104033970276
1912,247700,118600,0.4788050060557126
1913,321000,249400,0.7769470404984423
1914,444000,362600,0.8166666666666667
1915,556900,71400,0.1282097324474771
1916,701800,496000,0.7067540609860359
1917,634000,438000,0.6908517350157729
1918,505800,253100,0.5003954132068011
1919,463800,240600,0.51875808538163
1920,421600,305300,0.724146110056926
1921,516300,333100,0.6451675382529537
1922,540800,378200,0.6993343195266272
1923,628400,376900,0.5997772119669
1924,670500,514600,0.7674869500372856
1925,755800,649700,0.8596189468113258
1926,854700,556800,0.6514566514566514
1927,1040500,845100,0.8122056703507929
1928,1213500,989300,0.815245158632056
1929,1353100,919100,0.6792550439730988
1930,1444000,1063000,0.7361495844875346
1931,1600900,1455300,0.9090511587232182
1932,1278400,1129400,0.8834480600750939
1933,1371700,1136700,0.8286797404680324
1934,1288200,1014700,0.787688247166589
1935,1118700,734000,0.6561187092160543
1936,1028200,634200,0.6168060688581988
1937,1042200,586100,0.5623680675494147
1938,1224800,985300,0.8044578706727629
1939,1381100,1002100,0.725581058576497
1940,1202100,1111400,0.9245487064304134
1941,1062500,572800,0.5391058823529412
1942,1073800,1020000,0.9498975600670516
1943,709500,560300,0.7897110641296687
1944,634200,450200,0.7098707032481867
1945,613400,433300,0.7063906097163352
1946,742900,569300,0.7663211737784359
1947,981700,647400,0.6594682693287155
1948,1117100,938400,0.8400322263002417
1949,1160500,986000,0.8496337785437311
1950,1171200,1047200,0.8941256830601093
1951,1289100,1357300,1.052905127608409
1952,1252300,1088000,0.8688014054140382
1953,1213900,964500,0.7945465030068375
1954,1167600,1079800,0.9248030147310723
1955,1205600,933000,0.7738885202388852
1956,1169400,1448400,1.2385838891739354
1957,1118800,873100,0.7803897032534859
1958,1196800,900300,0.7522560160427807
1959,1332200,1568100,1.177075514187059
1960,1504900,1595800,1.0604026845637584
1961,1627400,1738100,1.0680226127565442
1962,1772500,1787000,1.0081805359661495
1963,1944100,1972000,1.0143511136258423
1964,1878000,1423600,0.7580404685835995
1965,2084700,1715500,0.8229001774835708
1966,2488800,2778600,1.1164416586306654
1967,2568400,2806900,1.0928593676997354
1968,2690000,2909700,1.0816728624535317
1969,2952300,3058600,1.036005825966196
1970,2747100,1814200,0.6604055185468312
1971,2361100,2957000,1.252382364152302
1972,2041900,2165100,1.0603359616043881
1973,2437400,2003000,0.8217773036842537
1974,2977900,4210800,1.4140165888713523
1975,2809900,3277100,1.1662692622513258
1976,3171300,4122000,1.299782423611768
1977,3313900,3248800,0.980355472404116
1978,3608900,2945500,0.8161766743328992
1979,3705600,4399500,1.1872571243523315
1980,4120800,3739100,0.9073723548825471
1981,4333100,3315200,0.7650873508573539
1982,4593000,4803000,1.045721750489876
1983,4865400,5322100,1.0938668968635672
1984,4746200,4188600,0.8825165395474274
1985,4651600,6284200,1.350976008255224
1986,4147700,4316300,1.0406490344046098
1987,4260200,5376800,1.2621003708746068
1988,3312400,3882300,1.172050476995532
1989,3297400,5225100,1.5846121186389277
1990,3476400,4800000,1.380738695201933
1991,3632200,5449100,1.5002202521887562
1992,3229900,4736000,1.4662992662311527
1993,3669300,5978900,1.6294388575477612
1994,3852400,6689300,1.7363980895026476
1995,3848300,5437900,1.4130655094457292
1996,3892400,6826700,1.753853663549481
1997,4263700,7516000,1.7627881886624293
1998,4204900,7724500,1.837023472615282
1999,4515300,8170100,1.8094257302947756
2000,4556200,9004100,1.9762301918265222
2001,4460300,5814400,1.303589444656189
2002,4349900,7759900,1.783926067265914
2003,4457700,4046900,0.9078448527267425
2004,4917000,11070000,2.25137278828554
2005,5118300,8618900,1.683938026297794
2006,4752700,9088100,1.9121972773370925
2007,4037000,5134300,1.2718107505573446
2008,4258200,5820200,1.3668216617350053
2009,4541900,8274000,1.8217045729760672
2010,5005900,8114100,1.6209073293513654
2011,4639500,5004600,1.0786938247655997
2012,5155761,11045107,2.142284524049893
2013,4909209,6744055,1.373755935019267
2014,5114891,9976941,1.9505676660558358
2015,5038134,8824410,1.7515234807172655
2016,4615761,8510577,1.8438079874586228
2017,4677774,9644881,2.061852710284849
2018,4056574,7698552,1.8977965149902356
2019,4369200,9979220,2.2839924929048796
2020,4132709,5842187,1.4136458676379102
2021,4387514,8792706,2.0040291609325918
2022,4718004,12919145,2.7382649527215324
